div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output,1
.hatnote,1
i{font-style:normal}.mw-parser-output,1
.hatnote+link+.hatnote{margin-top:-0.5em}This,1
article,17
rocket,39
manufacturer.,1
For,6
British,1
art,1
"gallery,",1
seeSpacex,1
(art,1
"gallery).""Space",1
Exploration,7
"Technologies""",1
redirects,1
here.,1
general,1
"topics,",1
seeSpace,1
explorationandSpace,1
technology..mw-parser-output,1
.infobox-subbox{padding:0;border:none;margin:-3px;width:auto;min-width:100%;font-size:100%;clear:none;float:none;background-color:transparent}.mw-parser-output,1
.infobox-3cols-child{margin:auto}Space,1
Technologies,6
Corp.Headquarters,1
December,45
2017;,1
plumes,1
flight,19
Falcon,93
9,75
visible,1
overheadTrade,1
"nameSpaceXTypePrivateIndustryAerospace,CommunicationsFounded6",1
May,71
2002;,1
19,13
years,2
ago(2002-05-06)[1]FounderElon,1
"MuskHeadquartersHawthorne,",1
"California,United",1
States.mw-parser-output,1
".geo-default,.mw-parser-output",1
".geo-dms,.mw-parser-output",1
.geo-dec{display:inline}.mw-parser-output,1
".geo-nondefault,.mw-parser-output",1
.geo-multi-punct{display:none}.mw-parser-output,1
".longitude,.mw-parser-output",1
.latitude{white-space:nowrap}33°55′15″N118°19′40″W﻿,1
/,5
﻿33.9207°N,2
118.3278°W﻿,2
/33.9207;,2
-118.3278Coordinates:33°55′15″N118°19′40″W﻿,1
-118.3278Key,1
peopleElon,2
"Musk(CEOandCTO,",1
2002–present)[2]Gwynne,1
Shotwell(PresidentandCOO)[3]ProductsSeveral,1
vehiclesSeveral,1
enginesDragon,1
capsulesStarship(in,1
development)StarlinkASDS,1
landing,20
platformsServicesOrbitalrocket,1
"launch,satellite",1
internetRevenueUS$2,1
billion,17
(2018)[4]OwnerElon,1
Musk,31
Trust(54%,1
equity;,1
78%,1
voting,1
control)[5]Number,1
employeesOver,1
"9,500[6](February",1
2021)Websitewww.spacex.com.mw-parser-output,1
.sidebar{width:22em;float:right;clear:right;margin:0.5em,1
0,2
1em,6
1em;background:#f8f9fa;border:1px,1
solid,3
#aaa;padding:0.2em;text-align:center;line-height:1.4em;font-size:88%;border-collapse:collapse;display:table}body.skin-minerva,1
.mw-parser-output,2
.sidebar{display:table!important;float:right!important;margin:0.5em,1
1em!important}.mw-parser-output,1
.sidebar-subgroup{width:100%;margin:0;border-spacing:0}.mw-parser-output,1
.sidebar-left{float:left;clear:left;margin:0.5em,1
0}.mw-parser-output,2
.sidebar-none{float:none;clear:both;margin:0.5em,1
.sidebar-outer-title{padding:0,1
0.4em,6
0.2em;font-size:125%;line-height:1.2em;font-weight:bold}.mw-parser-output,1
.sidebar-top-image{padding:0.4em}.mw-parser-output,1
".sidebar-top-caption,.mw-parser-output",1
".sidebar-pretitle-with-top-image,.mw-parser-output",1
.sidebar-caption{padding:0.2em,1
0;line-height:1.2em}.mw-parser-output,2
.sidebar-pretitle{padding:0.4em,1
".sidebar-title,.mw-parser-output",1
.sidebar-title-with-pretitle{padding:0.2em,1
0.8em;font-size:145%;line-height:1.2em}.mw-parser-output,1
.sidebar-title-with-pretitle{padding:0.1em,1
0.4em}.mw-parser-output,5
.sidebar-image{padding:0.2em,1
.sidebar-heading{padding:0.1em,1
.sidebar-content{padding:0,1
0.5em,1
.sidebar-content-with-subgroup{padding:0.1em,1
0.2em}.mw-parser-output,1
".sidebar-above,.mw-parser-output",2
.sidebar-below{padding:0.3em,1
0.8em;font-weight:bold}.mw-parser-output,1
.sidebar-collapse,2
.sidebar-below{border-top:1px,1
#aaa;border-bottom:1px,1
#aaa}.mw-parser-output,1
.sidebar-navbar{text-align:right;font-size:115%;padding:0,1
.sidebar-list-title{padding:0,1
0.4em;text-align:left;font-weight:bold;line-height:1.6em;font-size:105%}.mw-parser-output,1
.sidebar-list-title-c{padding:0,1
0.4em;text-align:center;margin:0,1
3.3em}@media(max-width:720px){body.mediawiki,1
.sidebar{width:100%!important;clear:both;float:none!important;margin-left:0!important;margin-right:0!important}}This,1
part,8
ofa,1
series,5
aboutElon,1
MuskAwards,1
"honorsViewsCompaniesZip2X.comPayPalSpaceXTesla,",1
Inc.Tesla,1
EnergyOpenAINeuralinkThe,1
Boring,8
CompanyIn,1
popular,1
cultureElon,2
MuskLudicrousPower,1
"Play""Members",1
"Only""""The",1
Who,2
Fell,2
"Earth""""One",1
Crew,21
Crewcoo's,2
"Morty""RelatedBoring",1
Test,9
TunnelCriticism,1
TeslaMaye,1
MuskHyperloopTesla,1
Roadster,2
spaceTSLAQ.mw-parser-output,1
.navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output,1
.navbar-collapse{float:left;text-align:left}.mw-parser-output,1
.navbar-boxtext{word-spacing:0}.mw-parser-output,1
.navbar,2
