Date,ZT=F
2012-03-30,
2012-04-02,-0.000496489112703058
2012-04-03,-0.0007805847289241719
2012-04-04,0.00028407073361269575
2012-04-05,7.099751508699015e-05
2012-04-09,0.0006389322731790159
2012-04-10,0.0006385242993969253
2012-04-11,-7.090187180947005e-05
2012-04-12,0.0001418137984825485
2012-04-13,0.00021269053527128712
2012-04-16,7.088176920899691e-05
2012-04-17,-7.08767453398984e-05
2012-04-18,0.00014176353841799383
2012-04-19,0.0
2012-04-20,0.0
2012-04-23,0.00028348688873136574
2012-04-24,-0.00014170327334561694
2012-04-25,0.0
2012-04-26,0.0002125850340135571
2012-04-27,-7.08466170740163e-05
2012-04-30,7.085163667275296e-05
2012-05-01,-0.0001416932341480326
2012-05-02,0.0
2012-05-03,7.085665698292054e-05
2012-05-04,0.00014170327334550592
2012-05-07,-7.08415981864885e-05
2012-05-08,7.08466170740163e-05
2012-05-09,0.0
2012-05-10,-7.08415981864885e-05
2012-05-11,0.0
2012-05-14,-7.08466170740163e-05
2012-05-15,-0.0002125549100183699
2012-05-16,-0.0002126000992134225
2012-05-17,-0.00021264530762687972
2012-05-18,7.089684509042904e-05
2012-05-21,0.0
2012-05-22,-7.089181908404019e-05
2012-05-23,0.0002835873803614941
2012-05-24,-0.0002835069813593716
2012-05-25,0.00021269053527128712
2012-05-29,-7.088176920899691e-05
2012-05-30,0.00028354717516121397
2012-05-31,0.00014173339947554098
2012-06-01,0.00021256997094876162
2012-06-04,-0.00014168319637286597
2012-06-05,7.085163667275296e-05
2012-06-06,-0.0002833864682961762
2012-06-07,-7.086669973777049e-05
2012-06-08,-7.087172218289695e-05
2012-06-11,-7.08767453398984e-05
2012-06-12,-0.00028352707683587663
2012-06-13,-7.090187180947005e-05
2012-06-14,-7.090689924127425e-05
2012-06-15,0.00028364770954469876
2012-06-18,-0.0001417836381681914
2012-06-19,0.0
2012-06-20,-0.0003545093590471282
2012-06-21,7.092701610034169e-05
2012-06-22,-7.092198581559739e-05
2012-06-25,7.092701610034169e-05
2012-06-26,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-06-29,-0.00014184397163119478
2012-07-02,-7.093204709884837e-05
2012-07-03,-0.00028374831524435873
2012-07-05,0.0003547860640034095
2012-07-06,0.0003546602354944639
2012-07-09,0.00021272069772382274
2012-07-10,-7.089181908404019e-05
2012-07-11,7.089684509042904e-05
2012-07-12,0.00021267545725223158
2012-07-13,0.0001417534906797968
2012-07-16,0.0004960668981646155
2012-07-17,-0.0002833262501771294
2012-07-18,0.0002834065466912339
2012-07-19,0.0001416631250885647
2012-07-20,0.00014164305949004863
2012-07-23,-7.081149978760415e-05
2012-07-24,7.08165144112094e-05
2012-07-25,-0.00014162299957509727
2012-07-26,-0.00014164305949004863
2012-07-27,-0.0004249893752655831
2012-07-30,0.0004251700680271142
2012-07-31,7.083156254417133e-05
2012-08-01,-0.00028330618315741685
2012-08-02,7.08466170740163e-05
2012-08-03,-0.00021252479455935447
2012-08-06,7.085665698292054e-05
2012-08-07,-0.00042510982003685083
2012-08-08,-0.00028352707683587663
2012-08-09,0.0
2012-08-10,0.0002127056154281881
2012-08-13,0.0
2012-08-14,-0.00014177358758060699
2012-08-15,-0.00028358738036160513
2012-08-16,-7.09169562442824e-05
2012-08-17,0.0
2012-08-20,7.092198581570841e-05
2012-08-21,-0.00014183391248845378
2012-08-22,0.0004255620966024942
2012-08-23,0.00021269053527128712
2012-08-24,-0.00021264530762687972
2012-08-27,0.00014179369018085808
2012-08-28,-0.00014177358758060699
2012-08-29,-0.00014179369018074706
2012-08-30,0.000283627596965097
2012-08-31,0.0004962075565322355
2012-09-04,-0.0002125549100183699
2012-09-05,-7.086669973777049e-05
2012-09-06,-0.0004961020552799456
2012-09-07,0.000283627596965097
2012-09-10,7.088679379041452e-05
2012-09-11,7.088176920899691e-05
2012-09-12,7.08767453398984e-05
2012-09-13,0.0002126151665484688
2012-09-14,-0.0003542832849146027
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,-0.00021264530762687972
2012-09-20,7.089684509042904e-05
2012-09-21,0.0
2012-09-24,-0.0001417836381681914
2012-09-25,7.090187180947005e-05
2012-09-26,0.00014179369018085808
2012-09-27,0.0002126603813710215
2012-09-28,7.087172218289695e-05
2012-10-01,0.00021260009921331147
2012-10-02,0.0
2012-10-03,0.00014170327334550592
2012-10-04,-0.00028336639274584297
2012-10-05,-0.00028344671201818716
2012-10-08,7.088176920899691e-05
2012-10-09,-7.08767453398984e-05
2012-10-10,-7.088176920899691e-05
2012-10-11,-7.088679379030349e-05
2012-10-12,0.00014178363816808037
2012-10-15,7.088176920899691e-05
2012-10-16,-0.0002835069813593716
2012-10-17,-0.0004962779156327812
2012-10-18,0.0
2012-10-19,-7.093204709884837e-05
2012-10-22,-0.00014187415762223488
2012-10-23,0.00028378857750976927
2012-10-24,7.092701610034169e-05
2012-10-25,-0.00042553191489358433
2012-10-26,0.00028380871292754684
2012-10-31,0.00021279614129654512
2012-11-01,0.0001418339124885648
2012-11-02,-7.090689924127425e-05
2012-11-05,0.0002127357821586351
2012-11-06,-0.00028358738036160513
2012-11-07,0.0004964186937097548
2012-11-08,0.00014176353841799383
2012-11-09,-7.087172218289695e-05
2012-11-12,7.08767453398984e-05
2012-11-13,0.0001417434443657939
2012-11-14,0.0
2012-11-15,7.086167800451904e-05
2012-11-16,0.0
2012-11-19,-7.085665698292054e-05
2012-11-20,-0.00028344671201818716
2012-11-21,-0.00021264530762687972
2012-11-23,0.0
2012-11-26,7.089684509042904e-05
