Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-06-19,602.75,617.0,600.25,612.5,140797,0,0
2012-06-20,610.5,616.75,605.0,611.75,112767,0,0
2012-06-21,610.0,611.5,586.5,586.5,159272,0,0
2012-06-22,589.0,600.5,588.0,591.0,110744,0,0
2012-06-25,602.75,631.0,602.75,631.0,113321,0,0
2012-06-26,633.75,652.25,629.5,646.0,115942,0,0
2012-06-27,645.5,670.0,641.25,649.5,84505,0,0
2012-06-28,649.25,663.0,644.0,652.0,79775,0,0
2012-06-29,653.0,676.25,650.0,672.5,29441,0,0
2012-07-02,682.0,696.0,679.75,692.5,7752,0,0
2012-07-03,702.5,719.5,698.0,718.75,6080,0,0
2012-07-05,735.0,776.75,732.5,768.0,8332,0,0
2012-07-06,764.5,766.0,732.0,743.25,5217,0,0
2012-07-09,751.25,786.75,751.25,775.25,4321,0,0
2012-07-10,773.5,777.75,757.5,761.0,3966,0,0
2012-07-11,760.5,785.25,732.25,750.75,3845,0,0
2012-07-12,757.75,782.75,750.0,771.25,2487,0,0
2012-07-13,781.0,794.0,754.0,755.75,87033,0,0
2012-07-16,750.0,780.25,749.25,776.75,86532,0,0
2012-07-17,790.0,796.5,767.0,779.5,86968,0,0
2012-07-18,780.0,797.0,763.5,795.0,91953,0,0
2012-07-19,793.0,816.75,790.25,807.75,104662,0,0
2012-07-20,806.75,828.75,799.5,824.5,112767,0,0
2012-07-23,823.0,824.0,795.25,814.0,74137,0,0
2012-07-24,814.0,815.5,774.0,790.0,83135,0,0
2012-07-25,790.0,805.75,781.75,794.5,76018,0,0
2012-07-26,790.5,799.5,776.25,781.25,67835,0,0
2012-07-27,781.25,801.0,776.5,798.5,61017,0,0
2012-07-30,801.0,823.0,799.75,820.0,65043,0,0
2012-07-31,819.0,825.0,805.25,806.5,76761,0,0
2012-08-01,806.5,818.0,782.25,800.5,84270,0,0
2012-08-02,803.0,808.5,784.25,794.0,68543,0,0
2012-08-03,794.0,817.5,787.0,810.0,61332,0,0
2012-08-06,803.25,807.75,793.0,803.0,58540,0,0
2012-08-07,801.0,807.25,792.25,796.0,82504,0,0
2012-08-08,795.25,811.75,787.75,810.75,99517,0,0
2012-08-09,810.0,826.0,810.0,818.25,113783,0,0
2012-08-10,817.5,843.75,799.25,800.0,138198,0,0
2012-08-13,799.0,804.5,776.75,782.75,122370,0,0
2012-08-14,784.75,790.5,777.75,779.75,53704,0,0
2012-08-15,780.0,796.25,778.0,794.0,83101,0,0
2012-08-16,793.5,801.0,789.5,797.75,53110,0,0
2012-08-17,796.0,804.5,793.5,798.5,57493,0,0
2012-08-20,799.0,817.5,798.75,815.25,65493,0,0
2012-08-21,814.75,832.5,813.5,831.25,56270,0,0
2012-08-22,830.25,834.0,822.75,830.25,59188,0,0
2012-08-23,829.5,833.75,805.0,808.75,71175,0,0
2012-08-24,808.5,817.0,800.0,802.25,56731,0,0
2012-08-27,806.25,811.0,794.0,794.5,40553,0,0
2012-08-28,795.0,798.75,788.25,789.5,57011,0,0
2012-08-29,789.75,812.0,787.75,810.25,53933,0,0
2012-08-30,810.75,819.0,807.0,811.5,51001,0,0
2012-08-31,811.0,813.75,796.0,802.75,12637,0,0
2012-09-04,805.0,818.25,800.0,807.0,4708,0,0
2012-09-05,805.5,807.25,789.0,789.75,8436,0,0
2012-09-06,792.0,800.25,787.25,797.25,3779,0,0
2012-09-07,795.0,801.25,790.0,795.0,2999,0,0
2012-09-10,793.5,800.75,779.0,781.0,2685,0,0
2012-09-11,781.0,786.0,778.25,782.25,2086,0,0
2012-09-12,782.5,786.25,761.5,771.0,1611,0,0
2012-09-13,768.25,778.0,766.25,776.75,1117,0,0
2012-09-14,776.5,792.0,775.5,777.5,142075,0,0
2012-09-17,780.75,781.0,747.0,748.0,160250,0,0
2012-09-18,748.25,754.0,739.0,740.0,172645,0,0
2012-09-19,740.25,759.25,739.5,756.5,141542,0,0
2012-09-20,755.0,757.5,739.0,746.0,161680,0,0
2012-09-21,745.5,754.5,744.5,748.25,128160,0,0
2012-09-24,746.75,751.25,736.5,744.75,118906,0,0
2012-09-25,743.5,749.25,739.0,743.75,89281,0,0
2012-09-26,743.25,744.75,722.5,724.75,167917,0,0
2012-09-27,725.0,726.75,711.75,716.25,166276,0,0
2012-09-28,716.5,756.25,705.0,756.25,220632,0,0
2012-10-01,760.25,768.5,751.5,756.75,169212,0,0
2012-10-02,756.5,760.0,746.0,758.25,132144,0,0
2012-10-03,757.75,763.5,747.0,756.75,172279,0,0
2012-10-04,756.5,767.5,753.0,757.0,115898,0,0
2012-10-05,756.5,758.25,746.25,748.0,107830,0,0
2012-10-08,747.0,748.0,740.0,742.0,93168,0,0
2012-10-09,741.75,748.5,740.25,742.0,94819,0,0
2012-10-10,742.0,743.5,732.25,736.75,120747,0,0
2012-10-11,736.5,776.0,733.75,773.25,249946,0,0
2012-10-12,772.0,772.75,749.5,752.75,148846,0,0
2012-10-15,751.5,751.5,732.5,737.25,123034,0,0
2012-10-16,737.75,745.25,735.25,738.25,105944,0,0
2012-10-17,738.0,746.25,736.25,745.5,81080,0,0
2012-10-18,745.25,762.0,744.5,760.75,141242,0,0
2012-10-19,760.75,769.0,758.25,761.5,138751,0,0
2012-10-22,761.0,767.0,758.75,761.25,81096,0,0
2012-10-23,761.0,762.5,749.5,756.0,130327,0,0
2012-10-24,756.0,763.5,751.5,754.5,157205,0,0
2012-10-25,753.5,757.5,740.75,742.0,147414,0,0
2012-10-26,742.0,744.75,737.0,737.75,112039,0,0
2012-10-31,741.75,757.75,741.75,755.75,180255,0,0
2012-11-01,755.5,763.25,750.0,751.0,161175,0,0
2012-11-02,750.0,751.5,736.0,739.5,175125,0,0
2012-11-05,737.5,745.0,733.0,735.5,123788,0,0
2012-11-06,735.5,741.5,735.5,741.0,118109,0,0
2012-11-07,740.5,751.75,734.0,744.25,179049,0,0
2012-11-08,744.5,748.0,740.5,741.25,154253,0,0
2012-11-09,741.0,755.0,733.5,738.75,260266,0,0
2012-11-12,736.75,743.5,712.5,718.0,260971,0,0
2012-11-13,717.5,725.75,710.5,723.5,232439,0,0
2012-11-14,723.0,729.25,720.25,725.75,153645,0,0
2012-11-15,725.75,727.75,720.25,721.25,112562,0,0
2012-11-16,721.25,729.75,711.0,727.0,162450,0,0
2012-11-19,726.5,741.25,726.25,738.75,156748,0,0
2012-11-20,738.75,747.25,734.25,743.25,145852,0,0
2012-11-21,743.0,747.0,738.0,741.0,108007,0,0
2012-11-23,746.25,749.0,743.25,745.5,62192,0,0
2012-11-26,744.75,753.0,741.75,747.25,133413,0,0
2012-11-27,746.5,760.25,746.5,760.0,142387,0,0
2012-11-28,758.75,763.25,754.75,760.25,111668,0,0
2012-11-29,759.0,763.0,751.0,751.5,128067,0,0
2012-11-30,752.5,752.5,742.0,748.0,44921,0,0
2012-12-03,752.0,759.0,744.25,749.0,12172,0,0
2012-12-04,749.0,751.5,741.0,746.5,8862,0,0
2012-12-05,747.0,754.75,745.5,753.25,8852,0,0
2012-12-06,752.75,753.5,744.5,747.75,3380,0,0
2012-12-07,748.0,749.0,731.5,732.75,4652,0,0
2012-12-10,731.0,732.25,721.0,726.75,3979,0,0
2012-12-11,727.0,731.25,720.0,724.25,3072,0,0
2012-12-12,724.25,727.25,716.25,721.0,2342,0,0
2012-12-13,721.0,724.0,709.25,712.25,2345,0,0
2012-12-14,711.5,720.0,710.25,718.75,110147,0,0
2012-12-17,732.0,734.75,721.25,724.0,85027,0,0
2012-12-18,724.0,725.75,715.25,720.0,83591,0,0
2012-12-19,721.25,723.0,701.5,703.0,158527,0,0
2012-12-20,704.0,705.0,687.5,696.5,160185,0,0
2012-12-21,697.0,704.75,696.75,702.0,67201,0,0
2012-12-24,703.0,707.25,700.5,704.25,21068,0,0
2012-12-26,705.0,706.25,692.25,693.25,59316,0,0
2012-12-27,693.25,695.5,689.25,691.5,64279,0,0
2012-12-28,691.75,696.25,688.75,694.0,62755,0,0
2012-12-31,694.0,700.0,689.25,698.25,62119,0,0
2013-01-02,706.25,707.25,687.75,690.75,110788,0,0
2013-01-03,690.75,694.75,685.0,689.25,108074,0,0
2013-01-04,688.0,692.25,679.5,680.25,126506,0,0
2013-01-07,680.5,690.0,678.0,685.5,116838,0,0
2013-01-08,685.5,694.5,683.75,688.75,122407,0,0
2013-01-09,688.0,696.0,686.5,694.25,115574,0,0
2013-01-10,694.75,700.5,694.5,698.75,134030,0,0
2013-01-11,698.5,723.75,686.25,708.75,305608,0,0
2013-01-14,713.75,726.75,713.0,724.0,173515,0,0
2013-01-15,723.5,734.5,722.0,730.5,175272,0,0
2013-01-16,730.0,735.0,724.5,731.25,155128,0,0
2013-01-17,731.25,734.0,722.5,724.5,114277,0,0
2013-01-18,724.5,729.5,723.0,727.5,134681,0,0
2013-01-22,730.25,734.75,726.25,728.5,104383,0,0
2013-01-23,728.0,730.5,719.25,720.75,118851,0,0
2013-01-24,720.25,726.0,714.5,724.25,128864,0,0
2013-01-25,725.0,727.5,717.5,720.75,110652,0,0
2013-01-28,722.75,729.75,719.0,729.25,101032,0,0
2013-01-29,728.5,732.5,727.5,729.5,109083,0,0
2013-01-30,729.0,741.0,725.5,740.25,152247,0,0
2013-01-31,739.25,744.5,734.25,740.5,163800,0,0
2013-02-01,740.25,746.25,735.0,736.0,159080,0,0
2013-02-04,738.5,741.75,730.75,734.25,102032,0,0
2013-02-05,734.0,735.0,724.0,729.0,138896,0,0
2013-02-06,729.25,729.5,720.5,722.5,117529,0,0
2013-02-07,721.25,722.25,710.0,710.75,182487,0,0
2013-02-08,710.5,720.75,706.75,709.0,244566,0,0
2013-02-11,709.0,713.75,701.0,702.25,185558,0,0
2013-02-12,702.25,703.25,691.5,696.25,202092,0,0
2013-02-13,696.5,701.0,687.25,695.5,187129,0,0
2013-02-14,695.75,699.25,690.0,694.75,133467,0,0
2013-02-15,695.0,703.25,694.0,698.75,126664,0,0
2013-02-19,701.0,703.25,691.0,695.25,126555,0,0
2013-02-20,696.75,701.5,693.25,700.5,140765,0,0
2013-02-21,700.0,701.25,690.0,690.75,137028,0,0
2013-02-22,692.0,697.75,690.0,690.25,121671,0,0
2013-02-25,690.0,695.5,687.5,693.5,110974,0,0
2013-02-26,693.5,705.75,691.75,705.0,125539,0,0
2013-02-27,705.0,711.25,702.5,709.5,117894,0,0
