Date,HG=F
2012-03-30,
2012-04-02,0.024712360819097556
2012-04-03,-0.0007656044460182532
2012-04-04,-0.033201348101666084
2012-04-05,0.0015850064411748743
2012-04-09,-0.019912965744693478
2012-04-10,-0.018837505423124346
2012-04-11,-0.00274272921403218
2012-04-12,0.022139749092635608
2012-04-13,-0.025158115491844435
2012-04-16,0.0002760601615048319
2012-04-17,0.005518758423432191
2012-04-18,-0.004390788197155104
2012-04-19,-0.00041348668440788217
2012-04-20,0.01916454156474523
2012-04-23,-0.019751133842871305
2012-04-24,0.013386713300104658
2012-04-25,0.007898691032312
2012-04-26,0.018240744713846846
2012-04-27,0.013800437189325665
2012-04-30,0.0035340249843951455
2012-05-01,0.0016955799862479193
2012-05-02,-0.014192673384482823
2012-05-03,-0.013736638514107447
2012-05-04,-0.002544536411724696
2012-05-07,0.014366256011362433
2012-05-08,-0.02435473453865744
2012-05-09,-0.004341281891760862
2012-05-10,0.0059953223309288095
2012-05-11,-0.011648376929089821
2012-05-14,-0.025078811766487963
2012-05-15,-0.009839709918916917
2012-05-16,-0.01050544534619735
2012-05-17,-0.0015781463266194562
2012-05-18,-0.0028739733594737027
2012-05-21,0.009943762215559149
2012-05-22,-0.004708903090126615
2012-05-23,-0.025663068568500647
2012-05-24,0.00912298378255505
2012-05-25,0.005540989779915018
2012-05-29,0.004495379602764915
2012-05-30,-0.022231887003017703
2012-05-31,-0.007086942349378789
2012-06-01,-0.01561338595724826
2012-06-04,-0.0018127015303304184
2012-06-05,-0.004691232055465511
2012-06-06,0.02752010825225515
2012-06-07,-0.0028114906326334177
2012-06-08,-0.02552306504337787
2012-06-11,0.018730036028907104
2012-06-12,-0.0032884657368982273
2012-06-13,0.0017995810869855244
2012-06-14,0.00419166998299314
2012-06-15,0.009242664896938368
2012-06-18,0.003249606503692659
2012-06-19,0.010747932301477858
2012-06-20,-0.013401312555966771
2012-06-21,-0.027018989707836005
2012-06-22,0.0030348984011268065
2012-06-25,0.0027230935982267557
2012-06-26,0.00045266437806890103
2012-06-27,0.009349992071890245
2012-06-28,-0.0061257866958367435
2012-06-29,0.04930848934302623
2012-07-02,-0.007163351088572134
2012-07-03,0.02005771174718296
2012-07-05,-0.01315602464443455
2012-07-06,-0.023939194511560458
2012-07-09,0.006315203577041961
2012-07-10,-0.009632291199682452
2012-07-11,0.014736278335746977
2012-07-12,-0.00914902711995691
2012-07-13,0.026088227244810636
2012-07-16,-0.005570637728328998
2012-07-17,-0.008043630669136381
2012-07-18,0.00579205923220516
2012-07-19,0.017564028053346892
2012-07-20,-0.024193549475229448
2012-07-23,-0.01942871215178421
2012-07-24,-0.008428236007811729
2012-07-25,0.006561310729099157
2012-07-26,0.005629645453558929
2012-07-27,0.009428422023076477
2012-07-30,-0.003210786930208376
2012-07-31,0.00131776009686968
2012-08-01,-0.012575002145732261
2012-08-02,-0.024877795028084515
2012-08-03,0.02384207500992419
2012-08-06,0.006526204577848915
2012-08-07,0.01532568449779581
2012-08-08,-0.0050798037866961465
2012-08-09,0.0027717072724866565
2012-08-10,-0.008146673276995697
2012-08-13,-0.01481370409602989
2012-08-14,0.0002977303914295515
2012-08-15,-0.0023812761323658282
2012-08-16,0.010293863433782358
2012-08-17,0.010632018376679264
2012-08-20,-0.014172946694844035
2012-08-21,0.024603510304438636
2012-08-22,0.0010125805546459254
2012-08-23,0.010404628021541962
2012-08-24,-0.002288368221941006
2012-08-27,-0.0010034360164629108
2012-08-28,-0.0041612578593631655
2012-08-29,-0.0021613640290950586
2012-08-30,-0.006353811922209518
2012-08-31,0.003923841046982179
2012-09-04,0.004198003109795456
2012-09-05,0.01830767415022172
2012-09-06,-0.002406596553244933
2012-09-07,0.037604635883028426
2012-09-10,0.012035051966578392
2012-09-11,0.0039188925779332084
2012-09-12,-0.0012114449648782388
2012-09-13,0.004582199399159492
2012-09-14,0.03340489302477567
2012-09-17,-0.010775046393042276
2012-09-18,-0.0019684864449962536
2012-09-19,0.006969095748086129
2012-09-20,-0.014755799972478334
2012-09-21,0.008217335612208387
2012-09-24,-0.01524907329545755
2012-09-25,0.007475604665276414
2012-09-26,-0.01576784936014597
2012-09-27,0.00915452881356571
2012-09-28,0.00667024973074537
2012-10-01,0.005300816569415057
2012-10-02,0.003690993679990484
2012-10-03,-0.0034147653562203173
2012-10-04,0.0
2012-10-05,-0.002108565417026198
2012-10-08,-0.015583733505209585
2012-10-09,0.0005366497078365118
2012-10-10,0.0
2012-10-11,0.008045044422961833
2012-10-12,-0.011838284593891357
2012-10-15,-0.0008076513718906497
2012-10-16,-0.0009430108602346277
2012-10-17,0.012001109276533972
2012-10-18,-0.0014657103577415675
2012-10-19,-0.026287700534555203
2012-10-22,-0.006303961113821588
2012-10-23,-0.013653286181408819
2012-10-24,0.0
2012-10-25,-0.003215850621958616
2012-10-26,-0.0002805908018255199
2012-10-31,-0.01024273266569442
2012-11-01,0.007938791250910127
2012-11-02,-0.020253171687998783
2012-11-05,-0.0035888738271507847
2012-11-06,0.010229087932317249
2012-11-07,-0.017969185113051567
2012-11-08,0.0079871953368289
2012-11-09,-0.006050974929673103
2012-11-12,0.006812571414984925
2012-11-13,0.0
2012-11-14,-0.005038917902317475
2012-11-15,0.0026045617813936772
2012-11-16,-0.003175037708605055
2012-11-19,0.02142750283758499
2012-11-20,-0.003543532124530291
2012-11-21,-0.005405420437755493
2012-11-23,0.00901025806833089
2012-11-26,0.002409666729681792
2012-11-27,0.00014139246563571461
2012-11-28,-0.004100071488495116
2012-11-29,0.018881302412570022
