Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-07-09,1637.5,1679.5,1637.5,1665.0,4607,0,0
2012-07-10,1660.25,1672.25,1644.0,1648.75,3756,0,0
2012-07-11,1652.75,1679.5,1605.25,1623.0,2335,0,0
2012-07-12,1627.0,1645.0,1612.5,1625.75,1961,0,0
2012-07-13,1630.0,1650.0,1630.0,1642.0,22167,0,0
2012-07-16,1613.0,1636.0,1610.0,1633.75,28066,0,0
2012-07-17,1643.25,1647.75,1616.75,1639.0,30000,0,0
2012-07-18,1639.0,1685.5,1626.0,1683.5,41661,0,0
2012-07-19,1682.0,1749.0,1677.5,1733.75,50885,0,0
2012-07-20,1731.5,1777.75,1729.0,1757.5,39733,0,0
2012-07-23,1761.0,1762.75,1687.5,1698.5,33773,0,0
2012-07-24,1702.25,1706.25,1628.5,1649.25,33431,0,0
2012-07-25,1645.5,1701.75,1618.0,1694.25,41310,0,0
2012-07-26,1687.25,1697.0,1648.75,1655.75,40717,0,0
2012-07-27,1654.0,1694.75,1641.0,1684.25,37101,0,0
2012-07-30,1698.75,1727.25,1698.75,1725.75,25537,0,0
2012-07-31,1722.0,1742.0,1711.5,1721.0,15532,0,0
2012-08-01,1721.0,1736.0,1651.0,1682.25,11074,0,0
2012-08-02,1695.75,1697.0,1635.75,1653.0,4130,0,0
2012-08-03,1653.0,1669.5,1639.25,1656.25,1920,0,0
2012-08-06,1630.0,1630.0,1606.75,1607.5,1512,0,0
2012-08-07,1607.0,1627.5,1603.0,1605.25,2064,0,0
2012-08-08,1608.25,1630.25,1602.0,1630.0,1334,0,0
2012-08-09,1633.75,1695.0,1633.75,1694.5,1011,0,0
2012-08-10,1700.0,1738.5,1694.5,1709.5,446,0,0
2012-08-13,1710.0,1713.75,1656.25,1656.25,445,0,0
2012-08-14,1659.25,1690.0,1659.25,1680.0,12189,0,0
2012-08-15,1623.0,1661.5,1623.0,1659.75,9545,0,0
2012-08-16,1659.5,1672.75,1646.25,1656.25,11740,0,0
2012-08-17,1653.75,1673.0,1649.5,1671.0,7574,0,0
2012-08-20,1670.25,1705.0,1667.0,1703.75,14065,0,0
2012-08-21,1703.75,1754.75,1702.75,1753.5,18311,0,0
