Date,ZF=F
2012-03-30,
2012-04-02,-0.001653312984865818
2012-04-03,-0.0035668789808916967
2012-04-04,0.0023651240092048553
2012-04-05,0.0016580575218416715
2012-04-09,0.003756287005793668
2012-04-10,0.0021565393885576434
2012-04-11,-0.0008227848101265423
2012-04-12,-0.000253373028441084
2012-04-13,0.0013939048343154514
2012-04-16,0.0005061689338816677
2012-04-17,-0.0008221083918295014
2012-04-18,0.0004430379746835911
2012-04-19,0.0005061048902386123
2012-04-20,-0.00025292443882385385
2012-04-23,0.001201695022452709
2012-04-24,-0.0008843967150978793
2012-04-25,0.00018968133535657294
2012-04-26,0.0009482268158542695
2012-04-27,0.0005052418845521434
2012-04-30,0.000252493372048912
2012-05-01,-0.0008835037233371201
2012-05-02,0.0005684689236988838
2012-05-03,0.00018938198346063473
2012-05-04,0.0012623074981066296
2012-05-07,6.303580433675293e-05
2012-05-08,0.0008824456350458032
2012-05-09,6.297625795070871e-05
2012-05-10,-0.00031486146095716094
2012-05-11,0.0008818897637794532
2012-05-14,0.0008181760966705642
2012-05-15,-0.0006917368884417074
2012-05-16,-0.00031464350890442194
2012-05-17,-6.294850812038622e-05
2012-05-18,-0.00012590494176900613
2012-05-21,0.0
2012-05-22,-0.0011962475602845801
2012-05-23,0.0015758951084214878
2012-05-24,-0.0011957958335955254
2012-05-25,0.0001890359168241762
2012-05-29,-0.0001890001890001436
2012-05-30,0.002835538752362865
2012-05-31,0.00031416902293424087
2012-06-01,0.001633165829145744
2012-06-04,-0.0021949078138717715
2012-06-05,0.0003770976054302544
2012-06-06,-0.002136080919771355
2012-06-07,0.0005036831832776478
2012-06-08,0.0
2012-06-11,0.000881001824932337
2012-06-12,-0.0020748192392329168
2012-06-13,0.0015751008064515126
2012-06-14,-0.0007548594074353598
2012-06-15,0.0016997167138810276
2012-06-18,-0.00018853695324283493
2012-06-19,-0.0007542900245144368
2012-06-20,-0.0015097188148707197
2012-06-21,0.0006300006300006267
2012-06-22,-0.0006925643770068213
2012-06-25,0.0018271169354837635
2012-06-26,-0.0005031130117603144
2012-06-27,0.00031460391367277296
2012-06-28,0.0011322178890427192
2012-06-29,-0.0018848957024377722
2012-07-02,0.0013848671786478306
2012-07-03,-0.0013829519738496332
2012-07-05,0.0010071761299257354
2012-07-06,0.001320588605206785
2012-07-09,0.0006280223575958477
2012-07-10,0.00018828845791762916
2012-07-11,-0.00031375502008035294
2012-07-12,0.00012554139727583014
2012-07-13,0.0
2012-07-16,0.001506307663340145
2012-07-17,-0.0009400263207369752
2012-07-18,0.0011290929619871548
2012-07-19,-0.0006265664160400863
2012-07-20,0.0013793103448276334
2012-07-23,0.0007513148009015147
2012-07-24,0.0003128128128129237
2012-07-25,6.254299831143229e-05
2012-07-26,-0.0005628517823639267
2012-07-27,-0.0030035667354983975
2012-07-30,0.001820121759869453
2012-07-31,0.0006264879087833908
2012-08-01,-0.0018782870022538978
2012-08-02,0.0011918203487641943
2012-08-03,-0.00250610863980949
2012-08-06,0.0011933923748508324
2012-08-07,-0.0020702634880802595
2012-08-08,-0.0006286540516753369
2012-08-09,-0.00012580990123922664
2012-08-10,0.0013211701793016672
2012-08-13,-0.00012565971349587368
2012-08-14,-0.0016337815759708274
2012-08-15,-0.0018252769385700418
2012-08-16,-0.0007566681379658213
2012-08-17,0.0005679308386445925
2012-08-20,0.00044147325933407977
2012-08-21,6.303977810007133e-05
2012-08-22,0.0030887544125062227
2012-08-23,0.0009426255262992012
2012-08-24,-0.0005022601707684871
2012-08-27,0.000753768844221181
2012-08-28,0.0003138337936228197
2012-08-29,-0.0001882411997239375
2012-08-30,0.0014434542487762325
2012-08-31,0.0023187315911512574
2012-09-04,-0.001000375140677745
2012-09-05,0.00012517211165352649
2012-09-06,-0.0023779724655820234
2012-09-07,0.0014427298958725743
2012-09-10,-0.0005637331663013168
2012-09-11,-0.00018801704687887444
2012-09-12,-0.001002946154328388
2012-09-13,0.0016941707975153264
2012-09-14,-0.0021297920320721975
2012-09-17,-0.00012554927809160787
2012-09-18,0.0005650426921144369
2012-09-19,0.00025098826629865734
2012-09-20,-0.00018819396524683007
2012-09-21,0.0009411469444096099
2012-09-24,0.00043878894251858647
2012-09-25,0.00043859649122812705
2012-09-26,0.0013152126260411734
2012-09-27,-0.0002501876407305925
2012-09-28,-6.256256256254034e-05
2012-10-01,-0.0016267283989238601
2012-10-02,0.0003133421069123621
2012-10-03,0.00043854153614830693
2012-10-04,-0.0008766986035443347
2012-10-05,-0.0015042306486994228
2012-10-08,0.0015692674659468775
2012-10-09,-0.0015041363750313286
2012-10-10,6.276675872451953e-05
2012-10-11,-6.276281930583938e-05
2012-10-12,0.0001255335174492611
2012-10-15,0.00012551776076308307
2012-10-16,-0.0012550200803213007
2012-10-17,-0.003329982407640153
2012-10-18,-0.00031519889049991257
2012-10-19,0.0008828351620633335
2012-10-22,-0.0010080645161290036
2012-10-23,0.0008198789101916404
2012-10-24,0.0005671434873022463
2012-10-25,-0.00220430784733594
2012-10-26,0.002272296913463423
2012-10-31,0.001574406448768828
2012-11-01,-6.287726358145118e-05
2012-11-02,-6.288121738040608e-05
2012-11-05,0.0011948182618537473
2012-11-06,-0.0020727341247409603
2012-11-07,0.0034617321248742172
2012-11-08,0.0006899579752870366
2012-11-09,0.00025072082236432536
2012-11-12,0.00018799348289255668
2012-11-13,0.0006265271599523725
2012-11-14,-6.261348694514002e-05
2012-11-15,6.261740763924273e-05
2012-11-16,0.000500907895560676
2012-11-19,-0.0008135678077476616
2012-11-20,-0.0010021295252411466
