Date,ZS=F
2012-03-30,
2012-04-02,0.01282965074839626
2012-04-03,-0.0029908515130190327
2012-04-04,0.0019410622904534325
2012-04-05,0.010214864388869316
2012-04-09,-0.0020920502092049986
2012-04-10,-0.0034940600978337066
2012-04-11,-0.0028050490883591017
2012-04-12,0.013361462728551432
2012-04-13,-0.00294934073560027
2012-04-16,-0.011658256481642648
2012-04-17,0.004049295774647854
2012-04-18,-0.012624934245134112
2012-04-19,0.005682827206535235
2012-04-20,0.0218965212784743
2012-04-23,-0.006566442025228936
2012-04-24,0.016698556270655862
2012-04-25,0.008383233532934131
2012-04-26,0.005259586019681128
2012-04-27,0.010464135021096999
2012-04-30,0.0041757140471021525
2012-05-01,-0.003493013972055925
2012-05-02,-0.011851109998330833
2012-05-03,-0.007601351351351315
2012-05-04,0.004255319148936065
2012-05-07,-0.0077966101694915135
2012-05-08,-0.01759480696959348
2012-05-09,-0.006955312119631407
2012-05-10,0.017159866923480926
2012-05-11,-0.0332243071096574
2012-05-14,-0.009971509971509973
2012-05-15,0.016546762589928043
2012-05-16,0.006369426751592355
2012-05-17,0.011251758087201136
2012-05-18,-0.02294853963838661
2012-05-21,0.005338078291814874
2012-05-22,-0.021415929203539852
2012-05-23,-0.014288298064749516
2012-05-24,0.009908256880734045
2012-05-25,0.0043604651162789665
2012-05-29,0.0034370477568741453
2012-05-30,-0.009734991887506705
2012-05-31,-0.02421263426178777
2012-06-01,0.003171641791044788
2012-06-04,-0.003161614283057501
2012-06-05,0.0070895522388059184
2012-06-06,0.02723230826231937
2012-06-07,0.030117222723174075
2012-06-08,-0.001225490196078427
2012-06-11,-0.001051709027169112
2012-06-12,0.007194244604316502
2012-06-13,-0.018641114982578366
2012-06-14,-0.015799751464583678
2012-06-15,-0.00721500721500723
2012-06-18,0.00599563953488369
2012-06-19,0.03575943651797009
2012-06-20,0.008892763731473519
2012-06-21,-0.005530591081921887
2012-06-22,0.0027806743135210255
2012-06-25,0.02772963604852685
2012-06-26,-0.008094435075885364
2012-06-27,0.0003400204012240504
2012-06-28,-0.003399048266485405
2012-06-29,0.031889495225102316
2012-07-02,0.012890431333663965
2012-07-03,0.026105400554739866
2012-07-05,0.034504690729845855
2012-07-06,-0.004150015370427251
2012-07-09,0.027936409939805618
2012-07-10,-0.009759759759759734
2012-07-11,-0.015617892342683848
2012-07-12,0.0016943930991990541
2012-07-13,0.009995386744579449
2012-07-16,-0.005024360535931804
2012-07-17,0.0032134659525631104
2012-07-18,0.02715070164734601
2012-07-19,0.029848529848529815
2012-07-20,0.013698630136986356
2012-07-23,-0.03357041251778092
2012-07-24,-0.02899617309390634
2012-07-25,0.027285129604365688
2012-07-26,-0.022723919138261772
2012-07-27,0.017212743469726677
2012-07-30,0.02464004749888682
2012-07-31,-0.002752426481240078
2012-08-01,-0.02251597908192915
2012-08-02,-0.017387427552385204
2012-08-03,0.0019661222020568303
2012-08-06,-0.02943396226415096
2012-08-07,-0.0013996889580093486
2012-08-08,0.015418159165239143
2012-08-09,0.03957055214723937
2012-08-10,0.008852168781351422
2012-08-13,-0.03114945890611287
2012-08-14,0.014339622641509342
2012-08-15,-0.012053571428571441
2012-08-16,-0.002108751317969615
2012-08-17,0.008905660377358515
2012-08-20,0.019599042489527152
2012-08-21,0.029200293470286187
2012-08-22,-0.0031365839749073476
2012-08-23,-0.011870709382151068
2012-08-24,0.005934288609060756
2012-08-27,-0.004460431654676245
2012-08-28,0.0015898251192367763
2012-08-29,0.017748917748917847
2012-08-30,0.003969941868708249
2012-08-31,-0.003248128795367844
2012-09-04,0.0036837631056956255
2012-09-05,-0.012987012987012991
2012-09-06,-0.0020022883295194305
2012-09-07,-0.007308684436801327
2012-09-10,-0.010827197921178033
2012-09-11,-0.009632224168126147
2012-09-12,0.026083112290008925
2012-09-13,0.0015797788309637184
2012-09-14,-0.0040149125322627155
2012-09-17,-0.03887129283040602
2012-09-18,-0.017375674056321122
2012-09-19,0.017987804878048852
2012-09-20,-0.03039832285115307
2012-09-21,0.0018532818532819295
2012-09-24,-0.007245259750269795
2012-09-25,0.0009316770186336143
2012-09-26,-0.023890784982935176
2012-09-27,-0.0014303877940241572
2012-09-28,0.01925831609103934
2012-10-01,-0.025452841973766405
2012-10-02,-0.019067457138279176
2012-10-03,0.0008167265599476892
2012-10-04,0.012893748979925013
2012-10-05,0.0
2012-10-08,-0.00032226877215602023
2012-10-09,-0.0006447453255964408
2012-10-10,-0.01725806451612899
2012-10-11,0.016576399146561727
2012-10-12,-0.01679044236357763
2012-10-15,-0.019704433497536922
2012-10-16,0.0008375209380233617
2012-10-17,0.010376569037656935
2012-10-18,0.024018552261056758
2012-10-19,-0.007279197670656767
2012-10-22,0.007984357177774237
2012-10-23,0.004364694471387098
2012-10-24,0.011105746016417228
2012-10-25,-0.004138809296402424
2012-10-26,-0.0017583120204603953
2012-10-31,-0.009127301841473145
2012-11-01,0.0074337427278603485
2012-11-02,-0.0202117420596728
2012-11-05,-0.014898493778650934
2012-11-06,0.00830978893136125
2012-11-07,-0.005274435470578487
2012-11-08,-0.006296603148301605
2012-11-09,-0.031515757878939454
2012-11-12,-0.028236914600551
2012-11-13,0.01133947554925574
2012-11-14,0.004029432375613151
2012-11-15,-0.021462222997731595
2012-11-16,-0.01337375178316691
2012-11-19,0.008313753840592852
2012-11-20,0.012905538626994062
2012-11-21,-0.0031852769421341076
2012-11-23,0.0074560624889046245
2012-11-26,0.004229074889867901
2012-11-27,0.017195999298122544
2012-11-28,-0.0020700362256339533
2012-11-29,0.001210025929127001
