Date,ZC=F
2012-03-30,
2012-04-02,0.017080745341614856
2012-04-03,0.004961832061068705
2012-04-04,-0.0022787694644891276
2012-04-05,0.0022839741149600634
2012-04-09,-0.014052411697683231
2012-04-10,-0.021956856702619376
2012-04-11,0.001969279243796862
2012-04-12,0.002358490566037652
2012-04-13,-0.012941176470588234
2012-04-16,-0.009535160905840279
2012-04-17,-0.010429201764941887
2012-04-18,-0.024321037697608405
2012-04-19,0.03199002908184467
2012-04-20,-0.013687600644122333
2012-04-23,0.01632653061224487
2012-04-24,-0.006827309236947743
2012-04-25,-0.011726647796198919
2012-04-26,0.02127659574468077
2012-04-27,0.04647435897435903
2012-04-30,0.011102603369065767
2012-05-01,-0.0007572889057175791
2012-05-02,-0.02652519893899208
2012-05-03,0.013234721681588235
2012-05-04,0.017671917018824423
2012-05-07,0.004152510381275842
2012-05-08,0.0015037593984963404
2012-05-09,-0.03716216216216217
2012-05-10,-0.024561403508771895
2012-05-11,-0.027977617905675434
2012-05-14,0.0
2012-05-15,-0.017680921052631526
2012-05-16,0.038091251569694506
2012-05-17,0.008064516129032251
2012-05-18,0.016799999999999926
2012-05-21,-0.003933910306844979
2012-05-22,-0.056872037914691975
2012-05-23,0.010887772194304812
2012-05-24,-0.04142502071251031
2012-05-25,0.0
2012-05-29,-0.02765773552290407
2012-05-30,-0.005333333333333301
2012-05-31,-0.0075960679177837775
2012-06-01,-0.006753714542998668
2012-06-04,0.029918404351767958
2012-06-05,-0.0008802816901408717
2012-06-06,0.033039647577092435
2012-06-07,0.01321961620469092
2012-06-08,0.006734006734006703
2012-06-11,-0.010033444816053505
2012-06-12,-0.013513513513513487
2012-06-13,0.014554794520547976
2012-06-14,0.0151898734177216
2012-06-15,-0.0365752285951787
2012-06-18,0.0345125107851596
2012-06-19,0.021684737281067568
2012-06-20,-0.001224489795918382
2012-06-21,-0.041275030649775224
2012-06-22,0.007672634271099765
2012-06-25,0.06768189509306266
2012-06-26,0.023771790808240878
2012-06-27,0.005417956656346812
2012-06-28,0.0038491147036181506
2012-06-29,0.03144171779141103
2012-07-02,0.029739776951672958
2012-07-03,0.03790613718411562
2012-07-05,0.06852173913043469
2012-07-06,-0.0322265625
2012-07-09,0.043054154053145055
2012-07-10,-0.01838116736536599
2012-07-11,-0.013469119579500699
2012-07-12,0.02730602730602727
2012-07-13,-0.020097244732577013
2012-07-16,0.027786966589480544
2012-07-17,0.0035403926617316728
2012-07-18,0.019884541372674702
2012-07-19,0.016037735849056656
2012-07-20,0.02073661405137739
2012-07-23,-0.01273499090357788
2012-07-24,-0.029484029484029506
2012-07-25,0.0056962025316456
2012-07-26,-0.016677155443675318
2012-07-27,0.0220800000000001
2012-07-30,0.026925485284909234
2012-07-31,-0.016463414634146356
2012-08-01,-0.007439553626782391
2012-08-02,-0.008119925046845666
2012-08-03,0.02015113350125941
2012-08-06,-0.00864197530864197
2012-08-07,-0.008717310087173136
2012-08-08,0.018530150753768737
2012-08-09,0.009250693802035137
2012-08-10,-0.02230369691414602
2012-08-13,-0.02156250000000004
2012-08-14,-0.0038326413286490224
2012-08-15,0.018275088169285025
2012-08-16,0.004722921914357636
2012-08-17,0.0009401441554370837
2012-08-20,0.020976831559173403
2012-08-21,0.019625881631401443
2012-08-22,-0.0012030075187969835
2012-08-23,-0.02589581451370071
2012-08-24,-0.008037094281298285
2012-08-27,-0.009660330320972244
2012-08-28,-0.006293266205160464
2012-08-29,0.026282457251424862
2012-08-30,0.00154273372415914
2012-08-31,-0.010782501540357314
2012-09-04,0.005294300840859467
2012-09-05,-0.021375464684014855
2012-09-06,0.009496676163342821
2012-09-07,-0.002822201317027262
2012-09-10,-0.017610062893081757
2012-09-11,0.0016005121638924535
2012-09-12,-0.014381591562799612
2012-09-13,0.00745784695201035
2012-09-14,0.0009655616350177088
2012-09-17,-0.037942122186495175
2012-09-18,-0.010695187165775444
2012-09-19,0.022297297297297236
2012-09-20,-0.013879709187045619
2012-09-21,0.0030160857908847483
2012-09-24,-0.00467758102238558
2012-09-25,-0.0013427324605572721
2012-09-26,-0.02554621848739491
2012-09-27,-0.011728182131769627
2012-09-28,0.055846422338568846
2012-10-01,0.0006611570247934129
2012-10-02,0.001982160555004997
2012-10-03,-0.001978239366963397
2012-10-04,0.00033036009250086984
2012-10-05,-0.011889035667106973
2012-10-08,-0.008021390374331583
2012-10-09,0.0
2012-10-10,-0.007075471698113178
2012-10-11,0.049541907024092335
2012-10-12,-0.026511477529906236
2012-10-15,-0.020591165725672544
2012-10-16,0.0013563919972872096
2012-10-17,0.009820521503555613
2012-10-18,0.02045606975184433
2012-10-19,0.000985869208018464
2012-10-22,-0.00032829940906109467
2012-10-23,-0.006896551724137945
2012-10-24,-0.001984126984126977
2012-10-25,-0.01656726308813783
2012-10-26,-0.005727762803234504
2012-10-31,0.024398508980006728
2012-11-01,-0.006285147204763475
2012-11-02,-0.015312916111850816
2012-11-05,-0.005409060175794456
2012-11-06,0.007477906186267758
2012-11-07,0.004385964912280604
2012-11-08,-0.004030903594222424
2012-11-09,-0.003372681281618939
2012-11-12,-0.028087986463620984
2012-11-13,0.0076601671309193264
2012-11-14,0.0031098825155493337
2012-11-15,-0.006200482259731355
2012-11-16,0.007972270363951539
2012-11-19,0.016162310866574936
2012-11-20,0.006091370558375608
2012-11-21,-0.003027245206861706
2012-11-23,0.006072874493927127
2012-11-26,0.0023474178403755097
2012-11-27,0.017062562730010056
2012-11-28,0.0003289473684211508
2012-11-29,-0.011509371917132527
2012-11-30,-0.004657351962741196
