Date,^RUT
2012-03-30,
2012-04-02,0.012441307047711847
2012-04-03,-0.006935295023946297
2012-04-04,-0.017273578247502863
2012-04-05,-0.0026816989613801523
2012-04-09,-0.017991115445129213
2012-04-10,-0.024033551179290513
2012-04-11,0.015864314294578685
2012-04-12,0.01506421069238062
2012-04-13,-0.015211724631280399
2012-04-16,0.0022479738686833617
2012-04-17,0.015725224945152272
2012-04-18,-0.009017674542716292
2012-04-19,-0.005502144686871158
2012-04-20,0.00644631771376325
2012-04-23,-0.015173201159444094
2012-04-24,0.007829781395703783
2012-04-25,0.017630483728381163
2012-04-26,0.007646680305858133
2012-04-27,0.008725029589739863
2012-04-30,-0.010406151798587726
2012-05-01,-0.0012119163505747155
2012-05-02,0.0033214782493296013
2012-05-03,-0.01467132798516424
2012-05-04,-0.018286861365622853
2012-05-07,0.002487839255800317
2012-05-08,-0.0009448104739253615
2012-05-09,-0.005220304467735581
2012-05-10,0.0035872042173459295
2012-05-11,-0.0021345152401720524
2012-05-14,-0.014062204624831098
2012-05-15,-0.0020412437647490123
2012-05-16,-0.006753627790123118
2012-05-17,-0.023027766249678838
2012-05-18,-0.009438833078200926
2012-05-21,0.02332676511720977
2012-05-22,-0.006552115596420216
2012-05-23,0.007292995263132651
2012-05-24,0.0018296907162220766
2012-05-25,-0.00020876655512014342
2012-05-29,0.014026435428408313
2012-05-30,-0.019506888759583507
2012-05-31,-0.0002362108606053237
2012-06-01,-0.032028594916749475
2012-06-04,-0.0002440843480684407
2012-06-05,0.012004281832677322
2012-06-06,0.02557326243201974
2012-06-07,-0.006312265460699074
2012-06-08,0.01163949716357604
2012-06-11,-0.023635243071384204
2012-06-12,0.014007828650024257
2012-06-13,-0.012015316615302418
2012-06-14,0.013238020558783425
2012-06-15,0.01177949491356367
2012-06-18,0.0015687677762359353
2012-06-19,0.01799278067100829
2012-06-20,-0.0030263404307796504
2012-06-21,-0.024513705761577187
2012-06-22,0.01350621160763632
2012-06-25,-0.017106080280020364
2012-06-26,0.004095019053959037
2012-06-27,0.014666244564423003
2012-06-28,-0.0004508600308414934
2012-06-29,0.029127808270838162
2012-07-02,0.011834853689596692
2012-07-03,0.013057885190842278
2012-07-05,-0.001295064779338606
2012-07-06,-0.012588207087509073
2012-07-09,-0.0028991585264026565
2012-07-10,-0.011965712014013863
2012-07-11,-0.0036595611090365354
2012-07-12,-0.00333225786471103
2012-07-13,0.01439932522922005
2012-07-16,-0.005405831711550846
2012-07-17,0.003502170507559521
2012-07-18,0.007017305980238975
2012-07-19,-0.0035898127558215975
2012-07-20,-0.013251561525960298
2012-07-23,-0.015968812648960884
2012-07-24,-0.014315090595163671
2012-07-25,0.00203190824955235
2012-07-26,0.010138939852233797
2012-07-27,0.024308032330702556
2012-07-30,-0.005552742349442474
2012-07-31,-0.005861712711616951
2012-08-01,-0.02009047387290608
2012-08-02,-0.003280937430595099
2012-08-03,0.025865216646223654
2012-08-06,0.007444697725486726
2012-08-07,0.008799712323746434
2012-08-08,-0.0014726004834278994
2012-08-09,0.0034243793260029243
2012-08-10,-0.0016814504671101016
2012-08-13,-0.002570017578399364
2012-08-14,-0.0032645628881449174
2012-08-15,0.009261124432276002
2012-08-16,0.010966611813496785
2012-08-17,0.008375556421824193
2012-08-20,-0.004122510120167511
2012-08-21,-0.001408463338241961
2012-08-22,-0.003434051024421403
2012-08-23,-0.008073246995057404
2012-08-24,0.003957819406211316
2012-08-27,0.0014953496323550919
2012-08-28,0.004787765012245426
2012-08-29,0.00437195734944873
2012-08-30,-0.011249158643414137
2012-08-31,0.004266437654004918
2012-09-04,0.012375460183748022
2012-09-05,-0.0011069089978263946
2012-09-06,0.020359743477384562
2012-09-07,0.0051554475342037165
2012-09-10,-0.003443105354357101
2012-09-11,0.003037978254884832
2012-09-12,0.00380085076015213
2012-09-13,0.013015903142221452
2012-09-14,0.010021979557514271
2012-09-17,-0.006707514410882243
2012-09-18,-0.002293668276031502
2012-09-19,-0.0009918845100559404
2012-09-20,-0.005338294590444992
2012-09-21,0.004697537262187801
2012-09-24,-0.0043833502322518925
2012-09-25,-0.014839878021410735
2012-09-26,-0.00618505395129032
2012-09-27,0.01152373153138142
2012-09-28,-0.007219534318402054
2012-10-01,0.003415111719952346
2012-10-02,0.00023802192954081036
2012-10-03,-0.0020582508817859058
2012-10-04,0.006998253310952274
2012-10-05,-0.0021192671648139205
2012-10-08,-0.005279657694480688
2012-10-09,-0.012511766999897866
2012-10-10,-0.001413159404661024
2012-10-11,0.0036649885659207904
2012-10-12,-0.008062380637281819
2012-10-15,0.006305510056092034
2012-10-16,0.008644387032498368
2012-10-17,0.008474596702520598
2012-10-18,-0.006409372227222487
2012-10-19,-0.019256492750398202
2012-10-22,-0.0005846290727771208
2012-10-23,-0.005264962732641987
2012-10-24,-0.0031242192536526936
2012-10-25,0.0038960029681545105
2012-10-26,-0.004370616895041035
2012-10-31,0.006738371311097557
2012-11-01,0.011139197702233927
2012-11-02,-0.016283119968940163
2012-11-05,0.006348444737839687
2012-11-06,0.0074432447283130365
2012-11-07,-0.02558014963238009
2012-11-08,-0.013511155537833441
2012-11-09,0.0017261955207510393
2012-11-12,-0.0015848780341002344
2012-11-13,-0.005984176503679661
2012-11-14,-0.02003776550729708
2012-11-15,-0.004811215312403805
2012-11-16,0.008837200447999294
2012-11-19,0.021615870083528277
2012-11-20,0.000945703984955637
2012-11-21,0.005757054381116511
2012-11-23,0.011022304841239672
2012-11-26,0.0022795744098773607
2012-11-27,-0.0015821973078201657
2012-11-28,0.007131019678688455
