Date,NG=F
2012-03-30,
2012-04-02,0.012229550223223029
2012-04-03,0.016263980779384957
2012-04-04,-0.021033380453797657
2012-04-05,-0.024287737033553802
2012-04-09,0.008616623264745549
2012-04-10,-0.036070341511116544
2012-04-11,-0.02314127704322466
2012-04-12,-0.000503995734422169
2012-04-13,-0.0010086199796688344
2012-04-16,0.0176678883262269
2012-04-17,-0.03224209135665246
2012-04-18,0.0
2012-04-19,-0.02255255260025968
2012-04-20,0.010487729788101863
2012-04-23,0.04151526819181961
2012-04-24,-0.015944168473912
2012-04-25,0.047088634550255914
2012-04-26,-0.015473918587898039
2012-04-27,0.0736739166914433
2012-04-30,0.045288184898506945
2012-05-01,0.03763674504916281
2012-05-02,-0.04976804215715014
2012-05-03,0.03861513199214328
2012-05-04,-0.02606832159733119
2012-05-07,0.025010934928258344
2012-05-08,0.024400651813542895
2012-05-09,0.030087768528526793
2012-05-10,0.008924979777944708
2012-05-11,0.008846029146695411
2012-05-14,-0.031088109488954685
2012-05-15,0.028383383745148816
2012-05-16,0.047200012207031294
2012-05-17,-0.009167276221672238
2012-05-18,0.057054740223483114
2012-05-21,-0.048504788630895024
2012-05-22,0.03756230387467219
2012-05-23,0.011082368378104501
2012-05-24,-0.03288268708280018
2012-05-25,-0.029845105389205484
2012-05-29,-0.05412779328292816
2012-05-30,-0.0045285790173581475
2012-05-31,0.0016542384325821669
2012-06-01,-0.03963664692510882
2012-06-04,0.038263107307529465
2012-06-05,0.012836495991211061
2012-06-06,-0.010220807176496427
2012-06-07,-0.06071874190622595
2012-06-08,0.010993885727040631
2012-06-11,-0.03523274848706859
2012-06-12,0.0063120729453380875
2012-06-13,-0.021057422663244396
2012-06-14,0.14187640773353505
2012-06-15,-0.01122239647855261
2012-06-18,0.06809889838439753
2012-06-19,-0.03415556527326158
2012-06-20,-0.0110020100231355
2012-06-21,0.025824417264536548
2012-06-22,0.01665375001858327
2012-06-25,0.02628571646554123
2012-06-26,0.027097236105635192
2012-06-27,0.002529804692356974
2012-06-28,-0.01874551085049514
2012-06-29,0.03747244763133928
2012-07-02,0.0
2012-07-03,0.02655809165168521
2012-07-05,0.01586754223335629
2012-07-06,-0.05738536984227527
2012-07-09,0.03854462292246885
2012-07-10,-0.05064166273437254
2012-07-11,0.04238214743972257
2012-07-12,0.007360724645420147
2012-07-13,0.0
2012-07-16,-0.02540012261052571
2012-07-17,-0.0017851175400991348
2012-07-18,0.06330473731576491
2012-07-19,0.00874538259485047
2012-07-20,0.02734245254564094
2012-07-23,0.011684522007133102
2012-07-24,0.022457469018206444
2012-07-25,-0.03671167294208
2012-07-26,0.01140067967158509
2012-07-27,-0.030595822230808478
2012-07-30,0.06777408532612861
2012-07-31,-0.0015556552716582406
2012-08-01,-0.011841728108918037
2012-08-02,-0.0791548177921162
2012-08-03,-0.014726021133683598
2012-08-06,0.010775077477748418
2012-08-07,0.01925721954087889
2012-08-08,-0.010458805347558386
2012-08-09,0.0040913212225694995
2012-08-10,-0.059422735580027086
2012-08-13,-0.014801404207976043
2012-08-14,0.03847563779807128
2012-08-15,-0.03034587181695647
2012-08-16,-0.008733599069993936
2012-08-17,-0.0018354904788363546
2012-08-20,0.0209635600145317
2012-08-21,-0.00036020443534134916
2012-08-22,0.018378334444807853
2012-08-23,-0.008492544104273914
2012-08-24,-0.03568884418895124
2012-08-27,-0.018134636617689215
2012-08-28,-0.014700351534834177
2012-08-29,0.007651101874139643
2012-08-30,0.04328012181976182
2012-08-31,0.018558995629599728
2012-09-04,0.019649898631644458
2012-09-05,-0.020672744697317058
2012-09-06,-0.006797872231529389
2012-09-07,-0.0338617076060681
2012-09-10,0.048471334165338886
2012-09-11,0.06401140271602168
2012-09-12,0.023729899170937596
2012-09-13,-0.008488417628403688
2012-09-14,-0.03095155235462488
2012-09-17,-0.026503590415200673
2012-09-18,-0.03211169540075165
2012-09-19,-0.003966793356091847
2012-09-20,0.012671921197914271
2012-09-21,0.03146230292747676
2012-09-24,-0.016637815401542633
2012-09-25,0.030666244230723727
2012-09-26,0.03385772102335727
2012-09-27,0.09063841523493932
2012-09-28,0.00697603954696846
2012-10-01,0.04819279790599551
2012-10-02,0.014655137803882612
2012-10-03,-0.038515979008090895
2012-10-04,0.003240034770488176
2012-10-05,-0.002935992589563896
2012-10-08,0.002061309802626532
2012-10-09,0.018806902466346642
2012-10-10,0.0023074407226908455
2012-10-11,0.03712235696703026
2012-10-12,0.0019422778314652778
2012-10-15,-0.03461644915180828
2012-10-16,-0.014056231766381933
2012-10-17,0.009601394245753347
2012-10-18,0.03371753994627702
2012-10-19,0.008363593727816365
2012-10-22,-0.045617969470030384
2012-10-23,0.02404408616580289
2012-10-24,-0.02404527187642158
2012-10-25,-0.004637690493850544
2012-10-26,-0.009900966726930749
2012-10-31,0.08588229667769309
2012-11-01,0.0018959831118017245
2012-11-02,-0.03919977982214318
2012-11-05,0.0
2012-11-06,0.01772656272850681
2012-11-07,-0.010782425552037567
2012-11-08,0.008384564229750646
2012-11-09,-0.029102000528776317
2012-11-12,0.01912643787058932
2012-11-13,0.04733897813260812
2012-11-14,0.005616450384227534
2012-11-15,-0.015159553708318785
2012-11-16,0.023494434667902242
2012-11-19,-0.01873347268553427
2012-11-20,0.030384488573570234
2012-11-21,0.01852820951567624
2012-11-23,-0.0005124502691415955
2012-11-26,-0.04383491484526947
2012-11-27,0.010455773225964471
2012-11-28,-0.019368520347371243
2012-11-29,-0.012987038957439911
2012-11-30,-0.023848654918582457
2012-12-03,0.008424591539976989
