Date,^IXIC
2012-03-30,
2012-04-02,0.00909889867947511
2012-04-03,-0.00196489499260899
2012-04-04,-0.01460702006706871
2012-04-05,0.004044833024413164
2012-04-09,-0.010848862806362658
2012-04-10,-0.01833233981046145
2012-04-11,0.008438025448339825
2012-04-12,0.012958928146513893
2012-04-13,-0.014472016493424555
2012-04-16,-0.007614633795152592
2012-04-17,0.01821046974768814
2012-04-18,-0.003736703759033122
2012-04-19,-0.007880681839688597
2012-04-20,-0.0023640782838429963
2012-04-23,-0.009998500387677911
2012-04-24,-0.0029792972987588984
2012-04-25,0.022970618217526217
2012-04-26,0.006925012434158662
2012-04-27,0.006093811760726986
2012-04-30,-0.00744162782267721
2012-05-01,0.00133924875605973
2012-05-02,0.0030848521625579384
2012-05-03,-0.011618232166129672
2012-05-04,-0.022471302397337745
2012-05-07,0.0004802972028881136
2012-05-08,-0.0038846932125793376
2012-05-09,-0.003923624962110295
2012-05-10,-0.0003646249113602451
2012-05-11,6.141714315588409e-05
2012-05-14,-0.01064822978453639
2012-05-15,-0.003038699406037626
2012-05-16,-0.006814653128309089
2012-05-17,-0.020998349652754267
2012-05-18,-0.012403606321422678
2012-05-21,0.024622199199362038
2012-05-22,-0.002855385772050023
2012-05-23,0.0038885972775346556
2012-05-24,-0.003768344467389828
2012-05-25,-0.0006514991272645876
2012-05-29,0.011791931923903265
2012-05-30,-0.01171368863245481
2012-05-31,-0.003531458521969011
2012-06-01,-0.028245667284212628
2012-06-04,0.0045605534475039455
2012-06-05,0.006557982613181634
2012-06-06,0.02397668224283045
2012-06-07,-0.00481592259096375
2012-06-08,0.00967845587622751
2012-06-11,-0.017033865819935712
2012-06-12,0.011865940187271162
2012-06-13,-0.008603361981723845
2012-06-14,0.006286776115811632
2012-06-15,0.012858154621846474
2012-06-18,0.007842533038825872
2012-06-19,0.011891539379482952
2012-06-20,0.000235494171519246
2012-06-21,-0.024351162609930754
2012-06-22,0.011657496951753998
2012-06-25,-0.01945084437433786
2012-06-26,0.006311402402928046
2012-06-27,0.007449040780207028
2012-06-28,-0.0089833748977165
2012-06-29,0.030026446447250832
2012-07-02,0.005512659536107467
2012-07-03,0.00842025115653744
2012-07-05,1.3453624045256518e-05
2012-07-06,-0.0130337612512621
2012-07-09,-0.0018928954001993237
2012-07-10,-0.010041695361547198
2012-07-11,-0.004944336884494027
2012-07-12,-0.0075450796784828356
2012-07-13,0.01475130056318985
2012-07-16,-0.003964293739669444
2012-07-17,0.0045220466841611184
2012-07-18,0.011188869622646092
2012-07-19,0.007918100969974917
2012-07-20,-0.013688881908503259
2012-07-23,-0.01201591149545711
2012-07-24,-0.009397406026362076
2012-07-25,-0.003056245404226443
2012-07-26,0.013667389532448393
2012-07-27,0.022410814098548393
2012-07-30,-0.004141185574485062
2012-07-31,-0.002145421397907743
2012-08-01,-0.006569119606414264
2012-08-02,-0.0035750653363630924
2012-08-03,0.019977483588845324
2012-08-06,0.007416021594341515
2012-08-07,0.008679256591444418
2012-08-08,-0.0015286211089599044
2012-08-09,0.0024540946710254197
2012-08-10,0.0007355017235439743
2012-08-13,0.0005494832764008084
2012-08-14,-0.0018329205519569403
2012-08-15,0.004623812972636143
2012-08-16,0.010379639796051165
2012-08-17,0.004636965184255271
2012-08-20,-0.00012355463102520226
2012-08-21,-0.0029094084231973127
2012-08-22,0.0020897843968123997
2012-08-23,-0.006594728792115978
2012-08-24,0.005367831677131063
2012-08-27,0.0011075357925092177
2012-08-28,0.0012852935377198893
2012-08-29,0.0013161731248856334
2012-08-30,-0.01054137560046886
2012-08-31,0.005986138476218983
2012-09-04,0.0026410836005090754
2012-09-05,-0.0018829027570758106
2012-09-06,0.021679434731735503
2012-09-07,0.0001944834890681424
2012-09-10,-0.010330218258650992
2012-09-11,0.00016430621014551505
2012-09-12,0.003150244708404415
2012-09-13,0.01333201214717783
2012-09-14,0.008910452195063145
2012-09-17,-0.0016583267255604328
2012-09-18,-0.00027365944506807516
2012-09-19,0.0015167940982165895
2012-09-20,-0.002092664535749078
2012-09-21,0.0012594617215575532
2012-09-24,-0.006031500986248384
2012-09-25,-0.013620071130891587
2012-09-26,-0.007707540244797584
2012-09-27,0.01386693834614583
2012-09-28,-0.006494330342819654
2012-10-01,-0.0008664158899687191
2012-10-02,0.002090877462034735
2012-10-03,0.004868508485812217
2012-10-04,0.004538735772940727
2012-10-05,-0.0042134269671109115
2012-10-08,-0.007601530581821336
2012-10-09,-0.015207183202378793
2012-10-10,-0.004319707587554289
2012-10-11,-0.0007766343461019787
2012-10-12,-0.0017379771300848335
2012-10-15,0.006593002063170372
2012-10-16,0.012071742214749603
2012-10-17,0.0009513168858275023
2012-10-18,-0.010067265060707209
2012-10-19,-0.021885077284539367
2012-10-22,0.003772879907594895
2012-10-23,-0.008783676397138951
2012-10-24,-0.002929318526263991
2012-10-25,0.0014824315283259448
2012-10-26,0.0006127797652355493
2012-10-31,-0.0035877343591115274
2012-11-01,0.014385881643666831
2012-11-02,-0.012559411086318528
2012-11-05,0.005878358752215762
2012-11-06,0.0040904702168791385
2012-11-07,-0.024781417321175225
2012-11-08,-0.014200150609169238
2012-11-09,0.00320835162967259
2012-11-12,-0.00021347501350610365
2012-11-13,-0.007010452757811869
2012-11-14,-0.012857576178550434
2012-11-15,-0.003467079638033721
2012-11-16,0.005706832622697222
2012-11-19,0.022060049185293806
2012-11-20,0.00020913876105632667
2012-11-21,0.003384024788056994
2012-11-23,0.013770497054804265
2012-11-26,0.003346961023905193
2012-11-27,-0.0030200384797993696
