Date,ZB=F
2012-03-30,
2012-04-02,0.001814882032667775
2012-04-03,-0.008605072463768071
2012-04-04,0.003426222019186742
2012-04-05,0.007739585704529928
2012-04-09,0.016263835554551687
2012-04-10,0.005779062013780756
2012-04-11,-0.0044198895027623974
2012-04-12,-0.002219755826859071
2012-04-13,0.006896551724137945
2012-04-16,0.0030932390631903672
2012-04-17,-0.004185022026431673
2012-04-18,0.003539040035390295
2012-04-19,0.0030857394754242318
2012-04-20,-0.0017578554163919513
2012-04-23,0.005282852740479793
2012-04-24,-0.003065469673746435
2012-04-25,-0.0024159894575005447
2012-04-26,0.002421840598855196
2012-04-27,0.0030748956731825317
2012-04-30,0.0010948105977666156
2012-05-01,-0.005468066491688517
2012-05-02,0.0052782054101605524
2012-05-03,0.0
2012-05-04,0.005906803762852686
2012-05-07,0.00043497172683770735
2012-05-08,0.004999999999999893
2012-05-09,0.0
2012-05-10,-0.0008652390222798623
2012-05-11,0.005412426932236425
2012-05-14,0.006675279931093847
2012-05-15,0.002139037433155133
2012-05-16,0.002774813233724638
2012-05-17,0.010642826734780675
2012-05-18,-0.0004212299915753448
2012-05-21,-0.0027391487568478867
2012-05-22,-0.0076061694485527465
2012-05-23,0.010219288907813429
2012-05-24,-0.005268703898840932
2012-05-25,0.0014830508474577009
2012-05-29,0.0006346519991538013
2012-05-30,0.012473572938689115
2012-05-31,0.004176237210273603
2012-06-01,0.015595757953836609
2012-06-04,-0.004914004914004955
2012-06-05,-0.004320987654320985
2012-06-06,-0.012399256044637319
2012-06-07,-0.0018832391713747842
2012-06-08,0.0010482180293500676
2012-06-11,0.004397905759162324
2012-06-12,-0.007089241034195171
2012-06-13,0.006929861402771964
2012-06-14,-0.0006256517205421863
2012-06-15,0.0031302170283806774
2012-06-18,0.0
2012-06-19,-0.004368629082587838
2012-06-20,-0.0014625992478061178
2012-06-21,-0.0008369951872776449
2012-06-22,-0.007539267015706841
2012-06-25,0.008018569318421598
2012-06-26,-0.0025120368432069995
2012-06-27,0.0010493179433368471
2012-06-28,0.00524109014675056
2012-06-29,-0.012513034410844615
2012-07-02,0.010982048574445624
2012-07-03,-0.00710256945895138
2012-07-05,0.002524721228697624
2012-07-06,0.006505771248688452
2012-07-09,0.004795663052543864
2012-07-10,0.002697655115169173
2012-07-11,0.0010347682119205004
2012-07-12,0.0031010957204880008
2012-07-13,-0.002885408079142615
2012-07-16,0.003927242662257191
2012-07-17,-0.005558987029030238
2012-07-18,0.002277432712215255
2012-07-19,-0.0045445155959512595
2012-07-20,0.007885453413571275
2012-07-23,0.002470660901791266
2012-07-24,0.004723762579585067
2012-07-25,-0.00040883074407194187
2012-07-26,-0.002044989775051076
2012-07-27,-0.016188524590163955
2012-07-30,0.0064569881274734175
2012-07-31,0.00020695364238410008
2012-08-01,-0.004965859714463061
2012-08-02,0.008109794135995108
2012-08-03,-0.012995049504950451
2012-08-06,0.0025078369905955356
2012-08-07,-0.008338544923910729
2012-08-08,-0.001891948707168356
2012-08-09,-0.0008424599831508006
2012-08-10,0.004005059021922497
2012-08-13,-0.00020995171110649302
2012-08-14,-0.008819823603527954
2012-08-15,-0.009322033898305104
2012-08-16,-0.0036355859709152893
2012-08-17,0.0019317450096587585
2012-08-20,0.0008568980291345785
2012-08-21,0.0019263698630136439
2012-08-22,0.008972441785943142
2012-08-23,0.006140165149269627
2012-08-24,-0.0008417508417508657
2012-08-27,0.0033698399326032025
2012-08-28,0.0023089840470194023
2012-08-29,-0.0016753926701570387
2012-08-30,0.004405286343612369
2012-08-31,0.005847953216374213
2012-09-04,-0.0018687707641196205
2012-09-05,-0.001664239650509658
2012-09-06,-0.008960200041675304
2012-09-07,-0.0006307821698906535
2012-09-10,-0.0023143277929729145
2012-09-11,-0.000632644453816944
2012-09-12,-0.008018569318421598
2012-09-13,-0.001701765581791137
2012-09-14,-0.014276582143618155
2012-09-17,0.004107220060527439
2012-09-18,0.0032292787944026013
2012-09-19,0.0023605150214591752
2012-09-20,0.005138086062941527
2012-09-21,0.0010649627263046302
2012-09-24,0.004893617021276553
2012-09-25,0.005293245818335901
2012-09-26,0.010109519797809607
2012-09-27,-0.002502085070892446
2012-09-28,-0.0008361204013378476
2012-10-01,0.00188284518828441
2012-10-02,0.0016704948841093081
2012-10-03,-0.0014592453616844026
2012-10-04,-0.0058455114822546506
2012-10-05,-0.008819823603527954
2012-10-08,0.005084745762711895
2012-10-09,-0.001897133220910674
2012-10-10,0.005068637803590237
2012-10-11,0.0035721790292078115
2012-10-12,0.0020938023450587373
2012-10-15,-0.0008357709987463213
2012-10-16,-0.008364700961940641
2012-10-17,-0.0103331927456769
2012-10-18,-0.0019177498401875548
2012-10-19,0.008112724167378405
2012-10-22,-0.002964845404489602
2012-10-23,0.004248088360237823
2012-10-24,-0.0019035532994924331
2012-10-25,-0.005085823267641398
2012-10-26,0.008732694355697568
2012-10-31,0.008868243243243201
2012-11-01,-0.004813729593972416
2012-11-02,-0.0012618296529968154
2012-11-05,0.005685407454200986
2012-11-06,-0.006490787269681775
2012-11-07,0.013698630136986356
2012-11-08,0.0058212058212057105
2012-11-09,0.0028937577511367607
2012-11-12,0.0002061005770817026
2012-11-13,0.002884813517411988
2012-11-14,-0.00041093075816722724
2012-11-15,0.00020554984583753821
2012-11-16,0.0010275380189066485
2012-11-19,-0.005132416341613655
2012-11-20,-0.005984316962443281
2012-11-21,-0.002906373261366002
2012-11-23,-0.0004164064126587208
2012-11-26,0.003749218912726615
2012-11-27,0.0018676073874248633
2012-11-28,0.003314001657000798
