Date,CL=F
2012-03-30,
2012-04-02,0.02145221108406936
2012-04-03,-0.011593663230865303
2012-04-04,-0.02442073707681025
2012-04-05,0.018133402146005118
2012-04-09,-0.00822764973582557
2012-04-10,-0.01405428903253303
2012-04-11,0.01663037379729615
2012-04-12,0.009152896488205053
2012-04-13,-0.007815491734503688
2012-04-16,0.0009724639924193479
2012-04-17,0.012338449813475316
2012-04-18,-0.014683290058605802
2012-04-19,-0.003895992334788101
2012-04-20,0.007626932964647448
2012-04-23,0.0005822179215622114
2012-04-24,0.004267311015436759
2012-04-25,0.0055045840466014795
2012-04-26,0.0041298529949362894
2012-04-27,0.003634598204936168
2012-04-30,-0.0005717865092846885
2012-05-01,0.012300952433887291
2012-05-02,-0.008854581847963505
2012-05-03,-0.025470445486446724
2012-05-04,-0.039496811152695654
2012-05-07,-0.005584276924485598
2012-05-08,-0.009495612436115075
2012-05-09,-0.0020616902714407637
2012-05-10,0.002789012284578174
2012-05-11,-0.009785790685191587
2012-05-14,-0.01404346731189654
2012-05-15,-0.008440551093761184
2012-05-16,-0.01244951858424792
2012-05-17,-0.0026936753213701037
2012-05-18,-0.011668044837366165
2012-05-21,0.01191513224630869
2012-05-22,-0.009830355792533552
2012-05-23,-0.01920141900406691
2012-05-24,0.008453861216139114
2012-05-25,0.002206010811422132
2012-05-29,-0.001100577519803414
2012-05-30,-0.03239315086169048
2012-05-31,-0.014689147346961029
2012-06-01,-0.03813700992623659
2012-06-04,0.009011173492131208
2012-06-05,0.00369132586570875
2012-06-06,0.008660525799147223
2012-06-07,-0.0023523518717816216
2012-06-08,-0.008488578440151273
2012-06-11,-0.016646867434958468
2012-06-12,0.007497010513435098
2012-06-13,-0.008401307618891796
2012-06-14,0.015613663430684266
2012-06-15,0.001430045429037241
2012-06-18,-0.009044414462346939
2012-06-19,0.009126962493924307
2012-06-20,-0.026538090681116233
2012-06-21,-0.044009852924305815
2012-06-22,0.01994891622592765
2012-06-25,-0.0068957251382516516
2012-06-26,0.0018937195759709535
2012-06-27,0.010710666174191363
2012-06-28,-0.031417487493205054
2012-06-29,0.09357699079169723
2012-07-02,-0.014241985611012087
2012-07-03,0.04668661089085813
2012-07-05,-0.005019420750907888
2012-07-06,-0.03175881946449033
2012-07-09,0.018235653891985226
2012-07-10,-0.024188792340190668
2012-07-11,0.022643234579458715
2012-07-12,0.0031465363027958215
2012-07-13,0.011849403129292613
2012-07-16,0.015269826111993012
2012-07-17,0.00893363013458126
2012-07-18,0.007285379029204453
2012-07-19,0.031044851788807337
2012-07-20,-0.01316642750362873
2012-07-23,-0.03608927125600636
2012-07-24,0.004084418117137334
2012-07-25,0.005310748256532438
2012-07-26,0.004720671722859171
2012-07-27,0.008278307068152913
2012-07-30,-0.003883262895670425
2012-07-31,-0.019157955492195344
2012-08-01,0.009652579230995828
2012-08-02,-0.020020316447810327
2012-08-03,0.04900728115532482
2012-08-06,0.00875268500008497
2012-08-07,0.015943614635132164
2012-08-08,-0.0034162453408729254
2012-08-09,0.00010714661375432755
2012-08-10,-0.005248477512490357
2012-08-13,-0.0015074769625071927
2012-08-14,0.00754876440096508
2012-08-15,0.009632896531512003
2012-08-16,0.013463337415608123
2012-08-17,0.0042887413039067734
2012-08-20,-0.0004166327948894599
2012-08-21,0.0073981356198993264
2012-08-22,0.005999191448323282
2012-08-23,-0.010178958167997854
2012-08-24,-0.0012464435584473854
2012-08-27,-0.007072285953035107
2012-08-28,0.009008071638790804
2012-08-29,-0.008720065932920518
2012-08-30,-0.009110850734635578
2012-08-31,0.019551875083705816
2012-09-04,-0.01212810359842964
2012-09-05,0.00062956512772816
2012-09-06,0.0017826989078988387
2012-09-07,0.009316438825720308
2012-09-10,0.0012445835808019279
2012-09-11,0.006525763905567361
2012-09-12,-0.0016465579472036973
2012-09-13,0.013400632859874584
2012-09-14,0.007018639594563947
2012-09-17,-0.024040376297151056
2012-09-18,-0.013765284550271373
2012-09-19,-0.03473604288794163
2012-09-20,-0.0011959187468680854
2012-09-21,0.011102608169937689
2012-09-24,-0.010334794819469417
2012-09-25,-0.006091564850807529
2012-09-26,-0.015212863608023097
2012-09-27,0.020782341047150155
2012-09-28,0.003701730788606694
2012-10-01,0.0031456872529282975
2012-10-02,-0.0063798004527313434
2012-10-03,-0.04080966399943675
2012-10-04,0.040503740861648874
2012-10-05,-0.01995422363235555
2012-10-08,-0.006119219394417175
2012-10-09,0.03425498148293982
2012-10-10,-0.012338991202289873
2012-10-11,0.008986298025470907
2012-10-12,-0.0022808633123571065
2012-10-15,-0.00010888456525159906
2012-10-16,0.002612932691960168
2012-10-17,0.00032583787473861037
2012-10-18,-0.00021715449266734854
2012-10-19,-0.022258365432430538
2012-10-22,-0.014658519157023542
2012-10-23,-0.023216557083870604
2012-10-24,-0.010845677072467419
2012-10-25,0.003732645308456517
2012-10-26,0.0026728148678940578
2012-10-31,-0.0004636174790598746
2012-11-01,0.009856197764102514
2012-11-02,-0.025605647276492616
2012-11-05,0.009309461581961997
2012-11-06,0.035726765955388595
2012-11-07,-0.048134333075580016
2012-11-08,0.007697701062188145
2012-11-09,0.011517257011529614
2012-11-12,-0.005809225069976054
2012-11-13,-0.0022204328863372202
2012-11-14,0.011009633071505265
2012-11-15,-0.01007880849927989
2012-11-16,0.014277369973952014
2012-11-19,0.030114234054371414
2012-11-20,-0.028337800334777286
2012-11-21,0.007262216177728709
2012-11-23,0.010299857566586246
2012-11-26,-0.00611691122558089
2012-11-27,-0.006382466061410574
2012-11-28,-0.007914687302028933
