Date,^GSPC,^IXIC,^RUT,ZT=F,ZF=F,ZN=F,ZB=F,CL=F,NG=F,GC=F,HG=F,ZC=F,ZS=F
2012-04-02,0.0075046458776102,0.0090988986794751,0.0124413070477118,-0.000496489112703,-0.0016533129848658,0.0016893930252201,0.0018148820326677,0.0214522110840693,0.012229550223223,0.0049122092685682,0.0247123608190975,0.0170807453416148,0.0128296507483962
2012-04-03,-0.0039886359960829,-0.0019648949926089,-0.0069352950239462,-0.0007805847289241,-0.0035668789808916,-0.0060233706782315,-0.008605072463768,-0.0115936632308653,0.0162639807793849,-0.0044709388971684,-0.0007656044460182,0.0049618320610687,-0.002990851513019
2012-04-04,-0.0102025243710081,-0.0146070200670687,-0.0172735782475028,0.0002840707336126,0.0023651240092048,0.0035147254878196,0.0034262220191867,-0.0244207370768102,-0.0210333804537976,-0.0345508689651946,-0.033201348101666,-0.0022787694644891,0.0019410622904534
2012-04-05,-0.000629042222354,0.0040448330244131,-0.0026816989613801,7.099751508699015e-05,0.0016580575218416,0.0045893719806764,0.0077395857045299,0.0181334021460051,-0.0242877370335538,0.0100477272723831,0.0015850064411748,0.00228397411496,0.0102148643888693
2012-04-09,-0.0113584382738918,-0.0108488628063626,-0.0179911154451292,0.000638932273179,0.0037562870057936,0.0090165905265688,0.0162638355545516,-0.0082276497358255,0.0086166232647455,0.0085968682836965,-0.0199129657446934,-0.0140524116976832,-0.0020920502092049
2012-04-10,-0.0170814543377354,-0.0183323398104614,-0.0240335511792905,0.0006385242993969,0.0021565393885576,0.0034552603359943,0.0057790620137807,-0.014054289032533,-0.0360703415111165,0.0103500761035006,-0.0188375054231243,-0.0219568567026193,-0.0034940600978337
2012-04-11,0.0074488958197751,0.0084380254483398,0.0158643142945786,-7.090187180947005e-05,-0.0008227848101265,-0.0020185229161718,-0.0044198895027623,0.0166303737972961,-0.0231412770432246,-0.0003012955709551,-0.0027427292140321,0.0019692792437968,-0.0028050490883591
2012-04-12,0.0137793878102883,0.0129589281465138,0.0150642106923806,0.0001418137984825,-0.000253373028441,-0.0014277215942891,-0.002219755826859,0.009152896488205,-0.0005039957344221,0.0123568414707655,0.0221397490926356,0.0023584905660376,0.0133614627285514
2012-04-13,-0.0124750010402945,-0.0144720164934245,-0.0152117246312803,0.0002126905352712,0.0013939048343154,0.0029786727034433,0.0068965517241379,-0.0078154917345036,-0.0010086199796688,-0.012146486700841,-0.0251581154918444,-0.0129411764705882,-0.0029493407356002
2012-04-16,-0.0005036003909072,-0.0076146337951525,0.0022479738686833,7.088176920899691e-05,0.0005061689338816,0.0011879306248514,0.0030932390631903,0.0009724639924193,0.0176678883262269,-0.0062684736104523,0.0002760601615048,-0.0095351609058402,-0.0116582564816426
2012-04-17,0.0154866738024461,0.0182104697476881,0.0157252249451522,-7.08767453398984e-05,-0.0008221083918295,-0.002017085904129,-0.0041850220264316,0.0123384498134753,-0.0322420913566524,0.000970520836804,0.0055187584234321,-0.0104292017649418,0.0040492957746478
2012-04-18,-0.0040552887801307,-0.0037367037590331,-0.0090176745427162,0.0001417635384179,0.0004430379746835,0.0010700273451431,0.0035390400353902,-0.0146832900586058,0.0,-0.0069684297762495,-0.0043907881971551,-0.0243210376976084,-0.0126249342451341
2012-04-19,-0.0059343969679566,-0.0078806818396885,-0.0055021446868711,0.0,0.0005061048902386,0.001543942992874,0.0030857394754242,-0.0038959923347881,-0.0225525526002596,0.0010983199317693,-0.0004134866844078,0.0319900290818446,0.0056828272065352
2012-04-20,0.001169265680053,-0.0023640782838429,0.0064463177137632,0.0,-0.0002529244388238,-0.0007114905727498,-0.0017578554163919,0.0076269329646474,0.0104877297881018,0.0009142996600766,0.0191645415647452,-0.0136876006441223,0.0218965212784743
2012-04-23,-0.0084075701249225,-0.0099985003876779,-0.015173201159444,0.0002834868887313,0.0012016950224527,0.002373323840038,0.0052828527404797,0.0005822179215622,0.0415152681918196,-0.0062115287275583,-0.0197511338428713,0.0163265306122448,-0.0065664420252289
2012-04-24,0.0036797734446916,-0.0029792972987588,0.0078297813957037,-0.0001417032733456,-0.0008843967150978,-0.00153900793181,-0.0030654696737464,0.0042673110154367,-0.015944168473912,0.0068018723082763,0.0133867133001046,-0.0068273092369477,0.0166985562706558
2012-04-25,0.0136445921578962,0.0229706182175262,0.0176304837283811,0.0,0.0001896813353565,-0.0007114062129476,-0.0024159894575005,0.0055045840466014,0.0470886345502559,-0.0009738135033094,0.007898691032312,-0.0117266477961989,0.0083832335329341
2012-04-26,0.0066801655681107,0.0069250124341586,0.0076466803058581,0.0002125850340135,0.0009482268158542,0.0017797816801139,0.0024218405988551,0.0041298529949362,-0.015473918587898,0.0110880656154321,0.0182407447138468,0.0212765957446807,0.0052595860196811
2012-04-27,0.0024143237260298,0.0060938117607269,0.0087250295897398,-7.08466170740163e-05,0.0005052418845521,0.001776619684946,0.0030748956731825,0.0036345982049361,0.0736739166914433,0.0026512560127684,0.0138004371893256,0.046474358974359,0.0104641350210969
2012-04-30,-0.0038835019016946,-0.0074416278226772,-0.0104061517985877,7.085163667275296e-05,0.0002524933720489,0.0009458500827619,0.0010948105977666,-0.0005717865092846,0.0452881848985069,-0.0003605622511643,0.0035340249843951,0.0111026033690657,0.0041757140471021
2012-05-01,0.0056583842421709,0.0013392487560597,-0.0012119163505747,-0.000141693234148,-0.0008835037233371,-0.0023623907394283,-0.0054680664916885,0.0123009524338872,0.0376367450491628,-0.0010220471427409,0.0016955799862479,-0.0007572889057175,-0.0034930139720559
