Date,GC=F
2012-03-30,
2012-04-02,0.0049122092685682794
2012-04-03,-0.0044709388971684305
2012-04-04,-0.03455086896519466
2012-04-05,0.010047727272383122
2012-04-09,0.008596868283696546
2012-04-10,0.010350076103500694
2012-04-11,-0.00030129557095515125
2012-04-12,0.012356841470765545
2012-04-13,-0.012146486700841064
2012-04-16,-0.006268473610452352
2012-04-17,0.0009705208368040452
2012-04-18,-0.006968429776249563
2012-04-19,0.0010983199317693426
2012-04-20,0.0009142996600766118
2012-04-23,-0.006211528727558369
2012-04-24,0.0068018723082763355
2012-04-25,-0.0009738135033094952
2012-04-26,0.011088065615432185
2012-04-27,0.002651256012768499
2012-04-30,-0.0003605622511643203
2012-05-01,-0.0010220471427409006
2012-05-02,-0.0049948408266842215
2012-05-03,-0.01161247910891483
2012-05-04,0.006425162350831348
2012-05-07,-0.003708868345007943
2012-05-08,-0.02111557189152591
2012-05-09,-0.006421476825514305
2012-05-10,0.0008784742780678645
2012-05-11,-0.007209579447066128
2012-05-14,-0.014523869887968388
2012-05-15,-0.0024349140184920515
2012-05-16,-0.013232333639606852
2012-05-17,0.024931682102260266
2012-05-18,0.010860575157788155
2012-05-21,-0.002010524768132793
2012-05-22,-0.007617713044546837
2012-05-23,-0.017890041469675988
2012-05-24,0.005942815959741443
2012-05-25,0.007384575636951718
2012-05-29,-0.01287612991679643
2012-05-30,0.009557050924351884
2012-05-31,-0.0005117364817905923
2012-06-01,0.03705364477069795
2012-06-04,-0.005121906095726603
2012-06-05,0.0018608113700904205
2012-06-06,0.010896544197813274
2012-06-07,-0.028294997464843097
2012-06-08,0.002205975074912825
2012-06-11,0.0033960282353142635
2012-06-12,0.01078028904536188
2012-06-13,0.003348437141167171
2012-06-14,0.00018543281172500592
2012-06-15,0.005313875096517595
2012-06-18,-0.0007990466061001955
2012-06-19,-0.0021529188073586836
2012-06-20,-0.0045616462621665965
2012-06-21,-0.031149397638814857
2012-06-22,0.0009587727708533222
2012-06-25,0.013729246487867108
2012-06-26,-0.008503937007873996
2012-06-27,0.0022236340533672294
2012-06-28,-0.0176228518720285
2012-06-29,0.03471642932390995
2012-07-02,-0.003928935970143432
2012-07-03,0.015088967188214397
2012-07-05,-0.007648198384392346
2012-07-06,-0.01895705111391721
2012-07-09,0.006462209208126124
2012-07-10,-0.00585416524029736
2012-07-11,-0.0025961486288132996
2012-07-12,-0.006538805914861667
2012-07-13,0.017061761617565452
2012-07-16,-0.0002513347701674773
2012-07-17,-0.0013197433700213868
2012-07-18,-0.011767636686911387
2012-07-19,0.006176739060796965
2012-07-20,0.001518906683846133
2012-07-23,-0.0034123377024091184
2012-07-24,-0.0006974672518962333
2012-07-25,0.020304568527918843
2012-07-26,0.0043532338308458485
2012-07-27,0.001795680751741413
2012-07-30,0.0011125080231482176
2012-07-31,-0.0056800342342535615
2012-08-01,-0.004222321532521001
2012-08-02,-0.010163950398515365
2012-08-03,0.011717257968925088
2012-08-06,0.004296403744746158
2012-08-07,-0.001984049348222938
2012-08-08,0.001987993625680362
2012-08-09,0.0026039748950965613
2012-08-10,0.0016078013884055498
2012-08-13,-0.006235707779474797
2012-08-14,-0.006336947891765421
2012-08-15,0.002688462355993737
2012-08-16,0.007732134932723067
2012-08-17,0.0001238000403502859
2012-08-20,0.002351003305709032
2012-08-21,0.012221498133758057
2012-08-22,-0.001524483177499314
2012-08-23,0.01966529295942676
2012-08-24,0.0001198330409157844
2012-08-27,0.0015570580368362563
2012-08-28,-0.0035278786940520224
2012-08-29,-0.004020372740399014
2012-08-30,-0.0037956673350943992
2012-08-31,0.018808573078885615
2012-09-04,0.00492701469097323
2012-09-05,-0.0012404604853522017
2012-09-06,0.0069789013585557225
2012-09-07,0.02049807642106405
2012-09-10,-0.005064776303956853
2012-09-11,0.001793311588947688
2012-09-12,-0.0006929629335670207
2012-09-13,0.022246619983318228
2012-09-14,0.00039572282621036514
2012-09-17,-0.0011866299007283754
2012-09-18,0.00039603624004369564
2012-09-19,0.0003392759430300707
2012-09-20,-0.0007349060645138739
2012-09-21,0.004412541179827478
2012-09-24,-0.007547183561848803
2012-09-25,0.000964799537904959
2012-09-26,-0.0074838830234513765
2012-09-27,0.015423283660770615
2012-09-28,-0.0036566157117871034
2012-10-01,0.005307449914538465
2012-10-02,-0.004380819336211705
2012-10-03,0.002594966877056182
2012-10-04,0.009452498900728523
2012-10-05,-0.008639429357852668
2012-10-08,-0.0028674101292829324
2012-10-09,-0.005920496193966729
2012-10-10,0.00011341529885133816
2012-10-11,0.0031760990309284143
2012-10-12,-0.006105861900716381
2012-10-15,-0.012514220705347023
2012-10-16,0.005011492610527135
2012-10-17,0.0038975462935948446
2012-10-18,-0.004681673520910645
2012-10-19,-0.0117593067319538
2012-10-22,0.0013349934366306826
2012-10-23,-0.009738523561283019
2012-10-24,-0.0045659712024685994
2012-10-25,0.006762716847985795
2012-10-26,-0.0006425091039354847
2012-10-31,0.003857604472358167
2012-11-01,-0.0019796357578238943
2012-11-02,-0.02333586171735791
2012-11-05,0.004838406131092876
2012-11-06,0.018963277458092787
2012-11-07,-0.0005250711317201784
2012-11-08,0.007121219699920189
2012-11-09,0.0028399352873120787
2012-11-12,0.0
2012-11-13,-0.003525456559040907
2012-11-14,0.0030739177463279255
2012-11-15,-0.00936684080478467
2012-11-16,0.0005836689263412076
2012-11-19,0.011491542093428508
2012-11-20,-0.006228401861663735
2012-11-21,0.0027275263320378773
2012-11-23,0.0135424643112656
2012-11-26,-0.0010278357665378657
2012-11-27,-0.004172648658545275
