Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-07-06,110.140625,110.1875,110.140625,110.1796875,198714,0,0
2012-07-09,110.1875,110.203125,110.1796875,110.203125,138966,0,0
2012-07-10,110.1953125,110.2109375,110.1796875,110.1953125,177226,0,0
2012-07-11,110.203125,110.21875,110.1953125,110.203125,178756,0,0
2012-07-12,110.203125,110.234375,110.203125,110.2265625,185413,0,0
2012-07-13,110.2265625,110.28125,110.21875,110.2421875,221025,0,0
2012-07-16,110.265625,110.3125,110.2578125,110.296875,275387,0,0
2012-07-17,110.2890625,110.3046875,110.25,110.265625,277053,0,0
2012-07-18,110.2578125,110.3046875,110.25,110.296875,171790,0,0
2012-07-19,110.296875,110.3203125,110.296875,110.3125,144181,0,0
2012-07-20,110.3125,110.34375,110.296875,110.328125,173595,0,0
2012-07-23,110.3359375,110.3515625,110.3125,110.3203125,126666,0,0
2012-07-24,110.3203125,110.328125,110.296875,110.328125,152172,0,0
2012-07-25,110.328125,110.3359375,110.3046875,110.3125,140664,0,0
2012-07-26,110.3125,110.328125,110.28125,110.296875,157698,0,0
2012-07-27,110.2890625,110.296875,110.21875,110.25,218817,0,0
2012-07-30,110.2578125,110.3125,110.25,110.296875,226487,0,0
2012-07-31,110.3046875,110.328125,110.2890625,110.3046875,169048,0,0
2012-08-01,110.3203125,110.3515625,110.2578125,110.2734375,279261,0,0
2012-08-02,110.265625,110.3046875,110.2578125,110.28125,144266,0,0
2012-08-03,110.2890625,110.296875,110.25,110.2578125,166864,0,0
2012-08-06,110.2578125,110.2890625,110.25,110.265625,89649,0,0
2012-08-07,110.2578125,110.265625,110.203125,110.21875,156919,0,0
2012-08-08,110.203125,110.234375,110.171875,110.1875,166371,0,0
2012-08-09,110.1796875,110.1953125,110.1640625,110.1875,155577,0,0
2012-08-10,110.1875,110.21875,110.1796875,110.2109375,153558,0,0
2012-08-13,110.21875,110.2265625,110.1953125,110.2109375,115853,0,0
2012-08-14,110.2109375,110.21875,110.1796875,110.1953125,113206,0,0
2012-08-15,110.1875,110.1953125,110.15625,110.1640625,215317,0,0
2012-08-16,110.1640625,110.1875,110.140625,110.15625,231557,0,0
2012-08-17,110.140625,110.1640625,110.140625,110.15625,87218,0,0
2012-08-20,110.15625,110.171875,110.1328125,110.1640625,112779,0,0
2012-08-21,110.171875,110.171875,110.1328125,110.1484375,159274,0,0
2012-08-22,110.1484375,110.2109375,110.1484375,110.1953125,207255,0,0
2012-08-23,110.2109375,110.234375,110.1953125,110.21875,208826,0,0
2012-08-24,110.2109375,110.234375,110.1875,110.1953125,323460,0,0
2012-08-27,110.1953125,110.2109375,110.1875,110.2109375,280820,0,0
2012-08-28,110.203125,110.2109375,110.1875,110.1953125,414424,0,0
2012-08-29,110.1953125,110.2109375,110.171875,110.1796875,466813,0,0
2012-08-30,110.1796875,110.21875,110.171875,110.2109375,276185,0,0
2012-08-31,110.2109375,110.28125,110.1875,110.265625,88031,0,0
2012-09-04,110.28125,110.28125,110.234375,110.2421875,50276,0,0
2012-09-05,110.2421875,110.25,110.2265625,110.234375,22545,0,0
2012-09-06,110.2421875,110.2421875,110.1796875,110.1796875,29634,0,0
2012-09-07,110.1796875,110.234375,110.15625,110.2109375,15670,0,0
2012-09-10,110.2421875,110.25,110.2109375,110.21875,10514,0,0
2012-09-11,110.2265625,110.234375,110.21875,110.2265625,5461,0,0
2012-09-12,110.2265625,110.2421875,110.2265625,110.234375,9135,0,0
2012-09-13,110.2421875,110.28125,110.21875,110.2578125,13608,0,0
