Date,ZN=F
2012-03-30,
2012-04-02,0.0016893930252201983
2012-04-03,-0.006023370678231554
2012-04-04,0.0035147254878196144
2012-04-05,0.004589371980676438
2012-04-09,0.00901659052656889
2012-04-10,0.0034552603359943035
2012-04-11,-0.002018522916171883
2012-04-12,-0.0014277215942891663
2012-04-13,0.002978672703443319
2012-04-16,0.001187930624851452
2012-04-17,-0.002017085904129079
2012-04-18,0.0010700273451431652
2012-04-19,0.001543942992874081
2012-04-20,-0.0007114905727498844
2012-04-23,0.0023733238400380774
2012-04-24,-0.0015390079318100547
2012-04-25,-0.0007114062129476295
2012-04-26,0.0017797816801139454
2012-04-27,0.0017766196849460236
2012-04-30,0.0009458500827619343
2012-05-01,-0.002362390739428344
2012-05-02,0.001657589391427905
2012-05-03,0.0
2012-05-04,0.003427895981087392
2012-05-07,0.0
2012-05-08,0.0021203910943574655
2012-05-09,-0.00011755025273307851
2012-05-10,-0.00094051257935579
2012-05-11,0.002235820192986626
2012-05-14,0.0025830691558059726
2012-05-15,-0.0003513291954561071
2012-05-16,0.00035145267104019773
2012-05-17,0.002576414100011748
2012-05-18,0.0003504263520617279
2012-05-21,-0.0014012143858009862
2012-05-22,-0.002338634237605275
2012-05-23,0.0036333802156587325
2012-05-24,-0.0018685040289617705
2012-05-25,0.0016380016380015405
2012-05-29,0.00046723513608215583
2012-05-30,0.0063047285464097325
2012-05-31,0.0017403411068568353
2012-06-01,0.005559416261292638
2012-06-04,-0.004837595024188013
2012-06-05,-0.0015046296296296058
2012-06-06,-0.004520690854294629
2012-06-07,0.0008150908244062283
2012-06-08,0.0003490401396160081
2012-06-11,0.0022098162363339835
2012-06-12,-0.003945688754787069
2012-06-13,0.003378771991145335
2012-06-14,-0.0015095215977705134
2012-06-15,0.0018606814745900646
2012-06-18,-0.0005803830528148257
2012-06-19,-0.0013937282229965486
2012-06-20,-0.002093510118632236
2012-06-21,-0.005244755244755206
2012-06-22,-0.0026947861745753032
2012-06-25,0.004229323308270638
2012-06-26,-0.0009358914365933391
2012-06-27,0.0008196721311475308
2012-06-28,0.002808002808002863
2012-06-29,-0.004083537510208846
2012-07-02,0.004803186504217516
2012-07-03,-0.0027981811822315183
2012-07-05,0.0023383608090727925
2012-07-06,0.0030327773241571876
2012-07-09,0.001395511105942493
2012-07-10,0.0005806526535825363
2012-07-11,-0.00023212627669455532
2012-07-12,0.00046436034362673517
2012-07-13,-0.0008122534230680101
2012-07-16,0.0019742190221809786
2012-07-17,-0.0019703291608715867
2012-07-18,0.0015096968993149051
2012-07-19,-0.0020871985157699946
2012-07-20,0.003253544039042433
2012-07-23,0.0011582117211026421
2012-07-24,0.0015039333641833075
2012-07-25,-0.0002310269146355015
2012-07-26,-0.0015020219526284961
2012-07-27,-0.006711409395973145
2012-07-30,0.0032618825722274813
2012-07-31,0.0006967022758941344
2012-08-01,-0.0037131585054537286
2012-08-02,0.0034940600978337066
2012-08-03,-0.005338904363973995
2012-08-06,0.0015169194865811697
2012-08-07,-0.003961318886170351
2012-08-08,-0.0007018364721019799
2012-08-09,-0.00023410979749505234
2012-08-10,0.0021074815595363283
2012-08-13,-0.00081785255286837
2012-08-14,-0.0036248830682881206
2012-08-15,-0.004224856237530772
2012-08-16,-0.001649970536240386
2012-08-17,0.0010624483532051254
2012-08-20,0.0001179245283018382
2012-08-21,0.0007074637424830943
2012-08-22,0.005302226935312904
2012-08-23,0.002812939521800173
2012-08-24,-0.0008181393174380158
2012-08-27,0.0017545911802550052
2012-08-28,0.001050910789350823
2012-08-29,-0.000816516971888448
2012-08-30,0.002568293252393161
2012-08-31,0.004191895668374412
2012-09-04,-0.0022031539888682783
2012-09-05,-0.00023242300987802444
2012-09-06,-0.004300825293502286
2012-09-07,0.002101330842867233
2012-09-10,-0.0011649580615097355
2012-09-11,-0.00023326335432705125
2012-09-12,-0.0030331311245916925
2012-09-13,0.0032763866136205078
2012-09-14,-0.00618147888966647
2012-09-17,0.0012909282948010414
2012-09-18,0.0009376465072667983
2012-09-19,0.0008196721311475308
2012-09-20,-0.008541008541008588
2012-09-21,0.0020061364172763163
2012-09-24,0.0018843481333177259
2012-09-25,0.00188080404372859
2012-09-26,0.0035198873636044237
2012-09-27,-0.0010522623640827344
2012-09-28,-0.000117041198501866
2012-10-01,0.000702329392485046
2012-10-02,0.0004678909814013199
2012-10-03,0.0007015082427217489
2012-10-04,-0.002336721579623835
2012-10-05,-0.0037475114181988456
2012-10-08,0.002586105560127061
2012-10-09,-0.0016414585531715487
2012-10-10,0.0012918379330593144
2012-10-11,0.00035186488388450066
2012-10-12,0.0003517411185367525
2012-10-15,0.0
2012-10-16,-0.003281762775433683
2012-10-17,-0.005997177798682918
2012-10-18,-0.0007098071690524455
2012-10-19,0.0030780158636201094
2012-10-22,-0.002124395137495627
2012-10-23,0.0020106445890006874
2012-10-24,0.0
2012-10-25,-0.003541076487252104
2012-10-26,0.004975124378109541
2012-10-31,0.0035360678925036026
2012-11-01,-0.0015268968757340406
2012-11-02,-0.00035289965886364794
2012-11-05,0.0027065191809838574
2012-11-06,-0.003285999295857267
2012-11-07,0.006593665371482427
2012-11-08,0.0021055094163060506
2012-11-09,0.0003501809268122713
2012-11-12,-0.00011668611435233789
2012-11-13,0.001166997315906082
2012-11-14,0.0
2012-11-15,-0.00011656370206314381
2012-11-16,0.00116577290743769
2012-11-19,-0.002095947834187206
2012-11-20,-0.002217036172695419
2012-11-21,-0.0016372354110630871
2012-11-23,-0.00046854867049317406
2012-11-26,0.001640689089417613
