Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-30,138.84375,139.15625,137.4375,137.75,387742,0,0
2012-04-02,137.78125,138.6875,137.21875,138.0,290652,0,0
2012-04-03,138.09375,138.84375,136.4375,136.8125,373118,0,0
2012-04-04,136.5,137.65625,136.375,137.28125,375216,0,0
2012-04-05,137.59375,139.0,137.40625,138.34375,294165,0,0
2012-04-09,140.46875,140.8125,139.9375,140.59375,187717,0,0
2012-04-10,140.375,141.84375,140.09375,141.40625,392214,0,0
2012-04-11,141.46875,141.5,140.4375,140.78125,310504,0,0
2012-04-12,140.65625,141.03125,140.03125,140.46875,373644,0,0
2012-04-13,140.4375,141.78125,140.375,141.4375,306671,0,0
2012-04-16,141.625,142.28125,141.40625,141.875,285531,0,0
2012-04-17,141.59375,141.9375,141.125,141.28125,268185,0,0
2012-04-18,141.46875,141.9375,141.15625,141.78125,248113,0,0
2012-04-19,141.8125,142.34375,141.4375,142.21875,331302,0,0
2012-04-20,142.03125,142.21875,141.5,141.96875,219539,0,0
2012-04-23,142.0625,143.125,142.03125,142.71875,239908,0,0
2012-04-24,142.6875,143.0,142.03125,142.28125,231554,0,0
2012-04-25,142.0625,142.40625,141.09375,141.9375,334598,0,0
2012-04-26,141.96875,142.84375,141.6875,142.28125,293094,0,0
2012-04-27,142.625,143.5625,142.3125,142.71875,228057,0,0
2012-04-30,142.65625,143.0625,142.40625,142.875,185416,0,0
2012-05-01,142.75,143.1875,142.03125,142.09375,203339,0,0
2012-05-02,142.34375,143.125,141.9375,142.84375,265068,0,0
2012-05-03,142.78125,143.0,142.28125,142.84375,230327,0,0
2012-05-04,142.75,143.78125,142.375,143.6875,323844,0,0
2012-05-07,143.84375,144.59375,143.59375,143.75,197569,0,0
2012-05-08,143.75,144.84375,143.65625,144.46875,326632,0,0
2012-05-09,144.3125,145.25,144.1875,144.46875,381155,0,0
2012-05-10,144.65625,144.8125,143.5625,144.34375,417092,0,0
2012-05-11,144.75,145.1875,144.625,145.125,286437,0,0
2012-05-14,145.1875,146.5625,145.125,146.09375,363868,0,0
2012-05-15,146.5,146.6875,145.75,146.40625,438424,0,0
2012-05-16,146.625,147.0625,145.78125,146.8125,437809,0,0
2012-05-17,146.90625,148.71875,146.375,148.375,594660,0,0
2012-05-18,148.5,148.625,147.5625,148.3125,515540,0,0
2012-05-21,148.0625,148.21875,147.3125,147.90625,339671,0,0
2012-05-22,147.71875,147.78125,146.6875,146.78125,485565,0,0
2012-05-23,147.25,148.5625,147.0625,148.28125,582186,0,0
2012-05-24,147.84375,148.5,147.03125,147.5,658984,0,0
2012-05-25,147.15625,147.90625,146.96875,147.71875,412360,0,0
2012-05-29,147.65625,148.25,147.0625,147.8125,767897,0,0
2012-05-30,147.53125,149.875,147.46875,149.65625,687847,0,0
2012-05-31,149.625,151.375,149.125,150.28125,202430,0,0
2012-06-01,150.71875,152.96875,150.46875,152.625,53801,0,0
2012-06-04,152.8125,153.09375,151.71875,151.875,32179,0,0
2012-06-05,151.96875,152.25,150.78125,151.21875,13286,0,0
2012-06-06,150.90625,151.15625,149.03125,149.34375,20846,0,0
2012-06-07,149.25,149.8125,148.71875,149.0625,10269,0,0
2012-06-08,149.40625,150.84375,149.09375,149.21875,6046,0,0
2012-06-11,148.65625,150.21875,147.53125,149.875,8035,0,0
2012-06-12,150.25,150.25,148.75,148.8125,6071,0,0
2012-06-13,149.125,150.03125,148.21875,149.84375,2971,0,0
2012-06-14,149.84375,149.9375,149.21875,149.75,8346,0,0
2012-06-15,149.46875,150.5625,149.46875,150.21875,7481,0,0
2012-06-18,149.625,150.71875,149.0,150.21875,4119,0,0
2012-06-19,150.46875,150.5625,149.25,149.5625,10879,0,0
2012-06-20,149.4375,149.71875,148.375,149.34375,556723,0,0
2012-06-21,148.375,149.6875,148.21875,149.21875,405782,0,0
2012-06-22,149.125,149.375,147.96875,148.09375,343434,0,0
2012-06-25,148.03125,149.40625,148.03125,149.28125,263897,0,0
2012-06-26,149.3125,149.375,148.4375,148.90625,324675,0,0
2012-06-27,148.90625,149.1875,148.53125,149.0625,276023,0,0
2012-06-28,149.03125,150.0,148.8125,149.84375,341368,0,0
