date,time,price
2021-10-12,16:00:00,805.72998046875
2021-10-13,09:30:00,810.469970703125
2021-10-13,10:00:00,809.7999877929688
2021-10-13,10:30:00,807.7000122070312
2021-10-13,11:00:00,807.5499877929688
2021-10-13,11:30:00,809.36962890625
2021-10-13,12:00:00,810.5
2021-10-13,12:30:00,809.3900146484375
2021-10-13,13:00:00,808.5333251953125
2021-10-13,13:30:00,809.6699829101562
2021-10-13,14:00:00,809.8400268554688
2021-10-13,14:30:00,809.02001953125
2021-10-13,15:00:00,809.8300170898438
2021-10-13,15:30:00,811.6953125
2021-10-13,16:00:00,811.27001953125
2021-10-14,09:30:00,815.489990234375
2021-10-14,10:00:00,817.4299926757812
2021-10-14,10:30:00,815.010009765625
2021-10-14,11:00:00,815.8499755859375
2021-10-14,11:30:00,816.7899780273438
2021-10-14,12:00:00,816.97998046875
2021-10-14,12:30:00,818.6300048828125
2021-10-14,13:00:00,819.1337890625
2021-10-14,13:30:00,818.4600219726562
2021-10-14,14:00:00,819.25
2021-10-14,14:30:00,819.4600219726562
2021-10-14,15:00:00,819.1699829101562
2021-10-14,15:30:00,817.2899780273438
2021-10-14,16:00:00,818.010009765625
2021-10-15,09:30:00,823.7384033203125
2021-10-15,10:00:00,827.0999755859375
2021-10-15,10:30:00,825.6300048828125
2021-10-15,11:00:00,832.9000244140625
2021-10-15,11:30:00,834.0999755859375
2021-10-15,12:00:00,833.6099853515625
2021-10-15,12:30:00,833.760009765625
2021-10-15,13:00:00,832.5999145507812
2021-10-15,13:30:00,833.1099853515625
2021-10-15,14:00:00,832.860107421875
2021-10-15,14:30:00,832.0700073242188
2021-10-15,15:00:00,834.1514282226562
2021-10-15,15:30:00,838.8099975585938
2021-10-15,16:00:00,843.0700073242188
2021-10-18,09:30:00,851.7899780273438
2021-10-18,10:00:00,860.3800048828125
2021-10-18,10:30:00,863.5800170898438
2021-10-18,11:00:00,862.1699829101562
2021-10-18,11:30:00,860.2930908203125
2021-10-18,12:00:00,859.8400268554688
2021-10-18,12:30:00,865.469970703125
2021-10-18,13:00:00,863.4650268554688
2021-10-18,13:30:00,871.0839233398438
2021-10-18,14:00:00,872.77001953125
2021-10-18,14:30:00,872.9837036132812
2021-10-18,15:00:00,872.5900268554688
2021-10-18,15:30:00,872.6500244140625
2021-10-18,16:00:00,870.1099853515625
2021-10-19,09:30:00,874.97998046875
