Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-29 11:00:00-04:00,790.77001953125,790.8800048828125,782.4500122070312,782.6300048828125,1149665,0,0
2021-09-29 11:30:00-04:00,782.6300048828125,783.6500244140625,778.8104248046875,782.1801147460938,1675916,0,0
2021-09-29 12:00:00-04:00,782.3800048828125,784.4453735351562,773.72998046875,773.72998046875,1397770,0,0
2021-09-29 12:30:00-04:00,773.739990234375,776.3499755859375,770.6799926757812,775.0,1578042,0,0
2021-09-29 13:00:00-04:00,775.0399780273438,778.75,773.0999755859375,773.3699951171875,988779,0,0
2021-09-29 13:30:00-04:00,773.473388671875,775.639892578125,771.4500122070312,775.0588989257812,885375,0,0
2021-09-29 14:00:00-04:00,774.9779052734375,784.0,774.3900756835938,780.3400268554688,1267434,0,0
2021-09-29 14:30:00-04:00,780.5499877929688,784.75,779.2000122070312,783.72998046875,1322071,0,0
2021-09-29 15:00:00-04:00,783.6649780273438,785.4000244140625,782.3900756835938,784.280517578125,1094492,0,0
2021-09-29 15:30:00-04:00,784.3599853515625,784.77001953125,779.5,781.2999877929688,2008673,0,0
2021-09-30 09:30:00-04:00,781.0,786.359619140625,776.2150268554688,783.7899780273438,3101326,0,0
2021-09-30 10:00:00-04:00,783.4949951171875,789.1304931640625,781.989990234375,784.9199829101562,1949609,0,0
2021-09-30 10:30:00-04:00,784.5999755859375,785.3284912109375,778.7000122070312,780.4600219726562,1425287,0,0
2021-09-30 11:00:00-04:00,780.4000244140625,787.2899780273438,779.5999755859375,787.22998046875,1242236,0,0
2021-09-30 11:30:00-04:00,787.2999877929688,787.4598999023438,778.330078125,781.25,1280676,0,0
2021-09-30 12:00:00-04:00,781.2999877929688,781.739990234375,778.530029296875,779.3400268554688,917869,0,0
2021-09-30 12:30:00-04:00,779.27001953125,781.7999877929688,777.77001953125,780.1599731445312,732665,0,0
2021-09-30 13:00:00-04:00,780.25,785.6400146484375,779.6901245117188,783.2000122070312,889670,0,0
