created_at,id,text,ticker,date,time
Fri Nov 05 13:30:36 +0000 2021,1456614928731754502,"RT : Nancy Pelosi bought 25 call options on Tesla with a strike price of $500 and an expiration date of March 18, 2022 one mon…",TSLA,2021-11-05,13:30:36
Fri Nov 05 13:30:34 +0000 2021,1456614921458774025,RT : Did anyone send  a detailed plan to solve world hunger. Seems like a missed opportunity… $tsla #tesla,TSLA,2021-11-05,13:30:34
