ticker,date,time,text,polarity,subjectivity
TSLA,2021-11-05,13:30:36,"RT : Nancy Pelosi bought 25 call options on Tesla with a strike price of $500 and an expiration date of March 18, 2022 one mon…",0.0,0.0
TSLA,2021-11-05,13:30:34,RT : Did anyone send  a detailed plan to solve world hunger. Seems like a missed opportunity… $tsla #tesla,0.4,0.75
