created_at,id,text
Fri Nov 05 13:30:36 +0000 2021,1456614928731754502,"RT @NancyTracker: Nancy Pelosi bought 25 call options on Tesla with a strike price of $500 and an expiration date of March 18, 2022 one mon…"
Fri Nov 05 13:30:34 +0000 2021,1456614921458774025,RT @GerberKawasaki: Did anyone send @elonmusk a detailed plan to solve world hunger. Seems like a missed opportunity… $tsla #tesla
